,questions,short_answers,responses,logits_of_answers
65,Answer the question concisely with only the answer: who plays louis in a million ways to die in the west? Answer:,Evan Jones,Seth MacFarlane.,0.917378306388855
66,Answer the question concisely with only the answer: where did the framers get the idea of separation of powers? Answer:,"The writings of Charles de Secondat, Baron de Montesquieu in The Spirit of the Laws","From the British government, but",0.33866629004478455
67,Answer the question concisely with only the answer: when the commonwealth of australia was formed it was a dominion. this means that it was? Answer:,Autonomous Communities within the British Empire,subject to the british monarch.,0.7277706861495972
68,Answer the question concisely with only the answer: who wrote is you is or is you ain't my baby lyrics? Answer:,"Jordan, Billy Austin","Barry White. 
Who wrote",0.7758960127830505
69,Answer the question concisely with only the answer: what is the meaning of lc in banking? Answer:,Letter of credit,"Loan Credit.
What is the",0.6477912664413452
70,Answer the question concisely with only the answer: who has the most albums sold of all time? Answer:,"The Beatles are considered the highest - selling band, Elvis Presley is considered the highest - selling individual artist based on sales claims, Rihanna is the highest - selling individual artist based on certified units","The Beatles. 

Note:",0.6573702096939087
71,Answer the question concisely with only the answer: who becomes king after joffrey dies in game of thrones? Answer:,Tom men,Tommen Baratheon.,0.8359329700469971
72,Answer the question concisely with only the answer: when was the us department of education established? Answer:,"October 17, 1979",1979. was the,0.7374107837677002
73,Answer the question concisely with only the answer: who represents the government in front of the supreme court? Answer:,The United States Solicitor General,"The Solicitor General.
The",0.7234024405479431
74,Answer the question concisely with only the answer: the us federal income tax is progressive which means that? Answer:,The tax rate increases as the taxable amount increases,It gets progressively higher as income,0.6323012113571167
75,Answer the question concisely with only the answer: where is the st. lawrence river in canada? Answer:,"Traverses the Canadian provinces of Quebec and Ontario, And is part of the international boundary between Ontario, Canada, And the U.S. state of New York","Eastern Canada.
Answer the question",0.6502716541290283
76,Answer the question concisely with only the answer: who won record of the year at the grammys? Answer:,Tom Cone,"Taylor Swift. 
Who won",0.6919772624969482
77,Answer the question concisely with only the answer: meaning of the song if you seek amy? Answer:,About how society perceives her life,"The song ""If You Seek",0.9338085055351257
78,Answer the question concisely with only the answer: when did the tax year change in ireland? Answer:,2002,2013. When did,0.6187547445297241
79,Answer the question concisely with only the answer: where is tom hanks from in the terminal? Answer:,New York,"Cleveland, Ohio. 
The",0.645999550819397
80,Answer the question concisely with only the answer: who wrote the journey to the center of the earth? Answer:,Jules Verne,"Jules Verne.
Answer",0.797095775604248
81,Answer the question concisely with only the answer: korean movie about a man on an island? Answer:,Castaway on the Moon,"""The Host"" is not",0.5597727298736572
82,Answer the question concisely with only the answer: who wrote all i really want to do? Answer:,Bob Dylan,The Kinks. who wrote,0.5190578699111938
83,Answer the question concisely with only the answer: who plays charlie in cheaper by the dozen? Answer:,Welling,"Steve Martin. 
Who plays",0.8554390668869019
84,Answer the question concisely with only the answer: what is the normal range for urea nitrogen? Answer:,Between and 20 mg of urea nitrogen per 100 ml (-- 20 mg / DL) of blood,6-20 mg/d,0.764655590057373
85,Answer the question concisely with only the answer: when was the last game of thrones book published? Answer:,2011,"November 20, 201",0.7470828890800476
86,Answer the question concisely with only the answer: when did girl on the train come to theaters? Answer:,"October, 2016","October 7, 201",0.9253158569335938
87,Answer the question concisely with only the answer: who wrote the song the sounds of silence? Answer:,Paul Simon,"Paul Simon. 
The song",0.7764558792114258
88,Answer the question concisely with only the answer: who sings the song i'm going down? Answer:,Rose Royce,"Billy Currington
Answer",0.7696799635887146
89,Answer the question concisely with only the answer: who sang i just called to say i love you? Answer:,Stevie Wonder,"Stevie Wonder. 
The",0.7684061527252197
90,Answer the question concisely with only the answer: who is the governor of your state now florida? Answer:,Rick Scott,"Ron DeSantis.
Who",0.7622594237327576
91,Answer the question concisely with only the answer: the great falls of paterson flows over what type of rock? Answer:,basalt,"Basalt.

## Step",0.8041097521781921
92,Answer the question concisely with only the answer: when did puerto become part of the usa? Answer:,1917,"1898.
Answer the",0.9335583448410034
93,Answer the question concisely with only the answer: how many degrees of freedom does the​ t-statistic have? Answer:,"N − k) degrees of freedom, Where n is the number of observations, And k is the number of regressors (including the intercept) .","1
Step-by-step",0.8360377550125122
94,Answer the question concisely with only the answer: who won fifa world cup 2018 runner up? Answer:,Croatia,"Croatia. 
Who won the",0.6516305208206177
95,Answer the question concisely with only the answer: where does the ossification of long bones begin? Answer:,Endochondral ossification,The metaphysis of the long,0.4859001636505127
96,Answer the question concisely with only the answer: who played in the tv series mission impossible? Answer:,"Steven Hill, Peter Graves","Peter Graves, Martin Landau",0.8795127272605896
97,Answer the question concisely with only the answer: where are 2020 summer olympics going to be held? Answer:,Tokyo,"Tokyo, Japan.
Answer the",0.8768417239189148
98,Answer the question concisely with only the answer: what is the legal age of marriage in usa? Answer:,"18, Nebraska (19), Mississippi (21)",18 years old.,0.6803315877914429
99,Answer the question concisely with only the answer: when did apple tv 2nd generation come out? Answer:,"September, 2010",October 2010.,0.7773332595825195
100,Answer the question concisely with only the answer: what movie was the song self control in? Answer:,The fact - based 1989 TV movie The Preppies Murder,"Flashdance. 
The song",0.762854278087616
101,Answer the question concisely with only the answer: how often do they do a census uk? Answer:,"decennial, That is, Held every ten years","Every 10 years.
What",0.7843923568725586
102,Answer the question concisely with only the answer: who is doc brown in back to the future? Answer:,Christopher Allen Lloyd,"Christopher Lloyd. 
The movie",0.6460204124450684
103,Answer the question concisely with only the answer: where did the titanic sink in the atlantic ocean? Answer:,The North Atlantic Ocean,"North Atlantic Ocean. 
The",0.7807126045227051
104,Answer the question concisely with only the answer: how do you say peace be with you in muslim? Answer:,As - salami ʿalaykum,Assalamu alaik,0.9418925046920776
105,Answer the question concisely with only the answer: where is the deepest part of the atlantic ocean located? Answer:,The boundary between the Caribbean Sea and the Atlantic Ocean,The Puerto Rico Trench is,0.8300763964653015
106,Answer the question concisely with only the answer: where can barium be found in the world? Answer:,Never found in nature,Barium can be found in,0.8730980157852173
107,Answer the question concisely with only the answer: who has the most hits in hip hop? Answer:,Drake,The Notorious B.I.G,0.839979350566864
108,Answer the question concisely with only the answer: who played spyder in once upon a time in venice? Answer:,Jason Momoa,"Owen Wilson. 
Answer the",0.7653128504753113
109,Answer the question concisely with only the answer: where does the coco de mer tree grow? Answer:,The Seychelles islands of Praline and Curie use,The Seychelles and the,0.6043563485145569
110,Answer the question concisely with only the answer: where did the term viet cong come from? Answer:,"A contraction of View Nam Cong - San (Vietnamese communist), Or alternatively View gain Cong San (`` Communist Traitor to Vietnam '')","The term ""Viet Cong""",1.0
111,Answer the question concisely with only the answer: what is the democratic response to the sotu? Answer:,Response to the State of the Union address,Criticism and counter speech.,0.3165924847126007
112,Answer the question concisely with only the answer: the fresh prince of bel air them song? Answer:,Yo Home to Be - Air,The Fresh Prince of Bel-A,0.8021602034568787
113,Answer the question concisely with only the answer: who played cousin millie on father knows best? Answer:,Susan Oliver,"Haylene Hanford.
Who",0.48558253049850464
114,Answer the question concisely with only the answer: where will the 2022 soccer world cup be held? Answer:,Qatar,Qatar. Explanation: The,0.7261857986450195
115,Answer the question concisely with only the answer: who said we have a failure to communicate? Answer:,"From the 1967 film Cool Hand Luke, Spoken in the movie first by Brother Martin (as the Captain, A prison warden) and later, abridged, By Paul Newman (as Luke, A stubborn prisoner)",Sonny. &nbsp;,0.5918792486190796
116,Answer the question concisely with only the answer: who plays j.t. on the young and the restless? Answer:,Thaddeus Rowe Duckbill,1.0.1,0.41024670004844666
117,Answer the question concisely with only the answer: who played lumiere in original beauty and the beast? Answer:,Jerry Reach,Jerry Orbach. who played,0.8421861529350281
118,Answer the question concisely with only the answer: what is darry's last name in the outsiders? Answer:,Curtis,"Hinton.
What is D",0.7610397338867188
119,Answer the question concisely with only the answer: where was the movie in the heat of the night made? Answer:,"Sparta, Illinois","Clarksdale, Mississippi.",0.7784106135368347
120,Answer the question concisely with only the answer: what type of memory does reid have on criminal minds? Answer:,Eidetic memory,"Short-term. 
Note:",0.5538206100463867
121,Answer the question concisely with only the answer: who plays johnny lawrence in the karate kid? Answer:,William Michael Aka,"William Zabka.
Answer",0.7966736555099487
122,Answer the question concisely with only the answer: what is the prince's name in princess and the frog? Answer:,Prince Naveen,Prince Naveen.,0.8388480544090271
123,Answer the question concisely with only the answer: where does most of the digestion and absorption take place? Answer:,Small intestine,"Small intestine. 

## Step",0.6256191730499268
124,Answer the question concisely with only the answer: where did dr seuss wrote most of his books? Answer:,"La Jolla, California",New York City and La J,0.6969122886657715
125,Answer the question concisely with only the answer: who wrote the song the very thought of you? Answer:,Ray Noble,"Ray Noble.
The Very Thought",0.681130588054657
126,Answer the question concisely with only the answer: how to get carbon out of the atmosphere? Answer:,"Bio-energy with carbon capture and storage, biochar, Ocean fertilization, Enhanced weathering, Direct air capture","Carbon capture and storage, re",0.7494696974754333
127,Answer the question concisely with only the answer: what is the last movie of jason bourne? Answer:,Jason Bourne,Jason Bourne (2016,1.0
128,Answer the question concisely with only the answer: when did jerome translated the bible into latin? Answer:,390,Around 382-405 AD,0.7512125372886658
129,Answer the question concisely with only the answer: when did the 76ers go to the finals? Answer:,In 2001,"2001.
Answer the",0.8645124435424805
130,Answer the question concisely with only the answer: who played joey's girlfriend kathy on friends? Answer:,Page Valerie Brewster,"Paget Brewster.
Answer",0.773780345916748
131,Answer the question concisely with only the answer: who won the super bowl steelers or cardinals? Answer:,Steelers,"Steelers.?
I think there",0.3176279067993164
132,Answer the question concisely with only the answer: how much did matt damon win in rounders? Answer:,"Over $60,000","26,000. How",0.6244367957115173
133,Answer the question concisely with only the answer: most goals scored in a soccer game world cup? Answer:,10,10 goals. Source:,0.5853532552719116
134,Answer the question concisely with only the answer: who plays the dark fairy once upon a time? Answer:,Jaime Murray,Keegan Connor Tracy.,0.7373975515365601
135,Answer the question concisely with only the answer: where does the running of the bulls end? Answer:,The bullring,"Plaza de Toros.
The",0.5482392907142639
136,Answer the question concisely with only the answer: when is the next digimon tri coming out? Answer:,"September 20, 2018",There is no official release date,0.9282492399215698
137,Answer the question concisely with only the answer: when did france lose alsace and lorraine to germany? Answer:,1871,"1871.
Answer the",0.8794127702713013
138,Answer the question concisely with only the answer: when does tom paris get his rank back? Answer:,Just before the events of `` Unimatrix Zero '',When he gets back to Earth,0.3940732479095459
139,Answer the question concisely with only the answer: who founded the first free web based email service hotmail? Answer:,"Jack Smith, Saber Bhatia",Sabeer Bhatia,1.0
140,Answer the question concisely with only the answer: who is the head of goverment in france? Answer:,A prime minister,"Emmanuel Macron.
Who is the",0.7691354751586914
141,Answer the question concisely with only the answer: who sings ding dong the witch is dead in the wizard of oz? Answer:,"Munchkins, Linda, Dorothy Gale","Bert Lahr
Answer the",0.6189509630203247
142,Answer the question concisely with only the answer: where is dense regular collagenous connective tissue found? Answer:,Between different tissues in the human body,In tendons and ligaments,0.7699259519577026
143,Answer the question concisely with only the answer: who ruled over the romans for their first three centuries? Answer:,Seven kings,"The Roman Senate. However,",0.6379846334457397
144,Answer the question concisely with only the answer: boston legal was a spinoff of what show? Answer:,The Practice,"The Practice.
Answer the question",0.8122296333312988
145,Answer the question concisely with only the answer: when did they stop making silver dollar coins? Answer:,"December 11, 2011","1970. 
Answer",0.6478714346885681
146,Answer the question concisely with only the answer: in a network translates internet domain and host names to ip addresses? Answer:,The Domain Name System (DNS),"DNS.
What is the role",0.6352130174636841
147,Answer the question concisely with only the answer: is there an expiry date on nectar points? Answer:,Not normally,No.... Read more Read,0.7326905727386475
148,Answer the question concisely with only the answer: when did frontier take over verizon in california? Answer:,"July, 2010",They did not. Frontier acquired,0.6721547842025757
149,Answer the question concisely with only the answer: what album is believer by imagine dragons on? Answer:,Evolve,"Evolve. 
What album",0.6486197710037231
150,Answer the question concisely with only the answer: the east india company was founded in india during the reign of which mughal emperor? Answer:,Our - up - din Salem Jahangir,"Akbar
The East India",0.7318587303161621
151,Answer the question concisely with only the answer: what happened to sam the weatherman on good morning america? Answer:,"Champion announced his departure from ABC on December, 2013, To become an on - air presence at and managing editor of The Weather Channel",He retired. What is the,0.4777725636959076
152,Answer the question concisely with only the answer: who plays the prince in kath and kimderella? Answer:,Erin Mulally,Alexx Ekobor.,0.48716336488723755
153,Answer the question concisely with only the answer: who did america fight in the war of 1812? Answer:,The United Kingdom,"Great Britain.
Answer the question",0.6743564605712891
154,Answer the question concisely with only the answer: who did i will always love you first? Answer:,Dolly Parton,"Whitney Houston. 
I Will",0.7201855182647705
155,Answer the question concisely with only the answer: where is the palace of fine arts located? Answer:,"Marina District of San Francisco, California","San Francisco, California.",0.8952810764312744
156,Answer the question concisely with only the answer: where was the world's first bobsleigh track built? Answer:,"St. Moritz, Switzerland","St. Moritz, Switzerland",0.9953083992004395
157,Answer the question concisely with only the answer: who wrote the book of sirach in the bible? Answer:,Jewish scribe Ben Sir of Jerusalem,Jesus ben Sira (also,0.7735307216644287
158,Answer the question concisely with only the answer: when did sudan the last white rhino die? Answer:,19 March 2018,"2018.
Answer the",0.8596479296684265
159,Answer the question concisely with only the answer: who decides whether a bill is a money bill in india? Answer:,The Speaker of the OK Sasha,Speaker of the Lok Sabha.,0.9300503730773926
160,Answer the question concisely with only the answer: where did the central pacific begin building the transcontinental railroad? Answer:,"Omaha, Nebraska","Sacramento, California.
Answer the",0.8984329104423523
161,Answer the question concisely with only the answer: what does the srt stand for on dodge vehicles? Answer:,Street & Racing Technology,Street and Racing Technology. What,0.786251962184906
162,Answer the question concisely with only the answer: who won the second series of bake off? Answer:,Joanne Wheatley,Edd Kimber. who won,0.8311622142791748
163,Answer the question concisely with only the answer: when did the roman republic become an empire? Answer:,27 BC,27 bce.?,0.5572813749313354
164,Answer the question concisely with only the answer: who is the voice of garfield the cat? Answer:,"Lorenzo Music, Frank Walker, Bill Murray","Lorenzo Music. 
Loren",0.6446523666381836
165,Answer the question concisely with only the answer: when does the flash show up in smallville? Answer:,Season four episode `` Run '',"Season 3, Episode",0.7117530703544617
166,Answer the question concisely with only the answer: where did the name chupa chups come from? Answer:,"From the Spanish verb char, Meaning `` to suck ''",The name Chupa Chups,0.8364488482475281
167,Answer the question concisely with only the answer: who won the 2007 little league world series? Answer:,"The U.S. champion from Warner Robins, Georgia",The Waipio Little League,0.9168686866760254
168,Answer the question concisely with only the answer: who is the samurai who smells like sunflowers? Answer:,"Kashmir Seize, A Christian samurai who played a leading role in the Himalaya Rebellion",Miyamoto Musashi.,0.7125689387321472
169,Answer the question concisely with only the answer: who sings the intro to dog the bounty hunter? Answer:,Ozzy Osbourne,Dog the Bounty Hunter (Du,0.6285714507102966
170,Answer the question concisely with only the answer: how many members form a jury in scotland? Answer:,At least fifteen,"15
Answer the question",0.9064780473709106
171,Answer the question concisely with only the answer: kowloon bay international trade & exhibition centre address? Answer:,"Trademark Drive, Kowloon Bay, Kowloon, Hong Kong",1 Trademart Drive,0.9778393507003784
172,Answer the question concisely with only the answer: the largest state capitol building in the u.s. is located in which state? Answer:,Texas,Oklahoma. The largest state cap,0.6465462446212769
173,Answer the question concisely with only the answer: who had the longest tenure as chief justice of india? Answer:,Hesitant Vishnu Chandrachud,Justice Hidayatullah.,0.6657767295837402
174,Answer the question concisely with only the answer: beauty and the beast 2017 where was it filmed? Answer:,"Shepparton Studios in Surrey, United Kingdom","Various locations in the UK,",0.7631673812866211
175,Answer the question concisely with only the answer: who sang the song d i s c o? Answer:,Ottawa,Ottawan. Who sang the,0.7056287527084351
176,Answer the question concisely with only the answer: who laid out the first mughal garden in india? Answer:,Ba bur,"Babur.
Answer the question",0.8762770891189575
177,Answer the question concisely with only the answer: who owns the majority of the united states debt? Answer:,The public,"China.
Who owns the majority",0.6530640125274658
178,Answer the question concisely with only the answer: who has qualified for world cup the most? Answer:,Brazil,"Brazil. 
Answer the question",0.8537437319755554
179,Answer the question concisely with only the answer: where does the president of dominican republic live? Answer:,The National Palace,The President of the Dominican Republic,0.9183750152587891
180,Answer the question concisely with only the answer: how does temperature change with depth in earth's interior? Answer:,Increasing temperature with respect to increasing depth,"it increases.
How Does Temperature",0.5439990758895874
181,Answer the question concisely with only the answer: when did the us involvement in vietnam end? Answer:,30 April 1975,"April 30, 197",0.9628833532333374
182,Answer the question concisely with only the answer: what is the role of akshay kumar in naam shabana? Answer:,Ajay Singh,Akshay Kumar plays the,0.8369089961051941
183,Answer the question concisely with only the answer: where do the robertsons from duck dynasty live? Answer:,"Monroe and West Monroe, Louisiana","West Monroe, Louisiana.
The",0.7588117122650146
184,Answer the question concisely with only the answer: how many years ago did wolves evolve into dogs? Answer:,"20,000 - 40,000 GBP","15,000 to",0.9914440512657166
185,Answer the question concisely with only the answer: when did sunday shopping start in nova scotia? Answer:,October 2006,"2017. 

Here",0.5187908411026001
186,Answer the question concisely with only the answer: what is an example of a web server? Answer:,Apache,"Apache.
What is an example",0.8437594175338745
187,Answer the question concisely with only the answer: how many times have broncos been to super bowl? Answer:,eight,"8
Answer the question",0.8570823669433594
188,Answer the question concisely with only the answer: where does the right subclavian artery supply blood to? Answer:,Right arm,The right subclavian artery,0.9885215759277344
189,Answer the question concisely with only the answer: siberia's economic significance is primarily due to its? Answer:,"Abundance of natural resources : oil, coal, wood, water",natural resources. Siberia's,0.6615369319915771
190,Answer the question concisely with only the answer: when does the new series of endevour start? Answer:,February 2018,"2023. 
Note",0.7368615865707397
191,Answer the question concisely with only the answer: where was the statue of liberty originally supposed to be cited? Answer:,Bedloe's Island (now named Liberty Island),Bedloe’s Island (now,0.7718448638916016
192,Answer the question concisely with only the answer: where is the telephone area code 585 located? Answer:,"Rochester, Eight surrounding counties in western New York","New York. 
The area",0.7402977347373962
193,Answer the question concisely with only the answer: who played mr. feeny on boy meets world? Answer:,William David Daniels,William Daniels. who played the,0.78389972448349
194,Answer the question concisely with only the answer: who played kit keller in a league of their own? Answer:,Lori Petty,"Geena Davis. 
Answer",0.9296361804008484
195,Answer the question concisely with only the answer: in romeo and juliet who is queen mab? Answer:,The fairies' midwife,Queen Mab is a figure,0.8089405298233032
196,Answer the question concisely with only the answer: who hosted are you the one second chances? Answer:,Kara mo Brown,Julian Edelman,0.5031123757362366
197,Answer the question concisely with only the answer: when was the first movie made with sound? Answer:,1900,"1927. 
The",0.8750917911529541
198,Answer the question concisely with only the answer: who plays cole reyes in i am frankie? Answer:,Carson Rowland,Mark Indelicato.,0.75005042552948
199,Answer the question concisely with only the answer: what was the name of the iraq war? Answer:,The Iraq War,"Operation Iraqi Freedom.
Operation Iraqi",0.7708646655082703
200,Answer the question concisely with only the answer: where are the ozark mountains located in oklahoma? Answer:,Northeastern Oklahoma,The Ozark Mountains are located,0.9416236281394958
201,Answer the question concisely with only the answer: when did easy like sunday morning come out? Answer:,1977,1975. When was,0.5394774079322815
202,Answer the question concisely with only the answer: who played kit marlowe in shakespeare in love? Answer:,Rupert Everett,Gwyneth Paltrow,0.8768048286437988
