ID,question,short_answers
52790,Answer the question concisely with only the answer: where do the profits of the crown estate go? Answer:,"Her Majesty's Treasury, For the benefit of the British nation"
49310,Answer the question concisely with only the answer: what is the meaning of business to business? Answer:,A situation where one business makes a commercial transaction with another
14661,Answer the question concisely with only the answer: where do they put dead bodies in the hospital? Answer:,A morgue or mortuary
54779,Answer the question concisely with only the answer: what popular food is thought to have originated in naples italy? Answer:,pizza
44914,Answer the question concisely with only the answer: who did chris sullivan play in guardians of the galaxy 2? Answer:,Taser face
61179,Answer the question concisely with only the answer: when is whose line is it anyway on 2017? Answer:,"May 29, 2017"
73722,Answer the question concisely with only the answer: the function of an x ray beam filter in diagnostic radiology is to? Answer:,"Selectively attenuate, Or block out, Low - energy rays"
28455,Answer the question concisely with only the answer: when is the teachers day celebrated in india? Answer:,September
13470,Answer the question concisely with only the answer: record for three pointers in a game ncaa? Answer:,Keith Vega
65626,Answer the question concisely with only the answer: who plays dr altman on grey's anatomy? Answer:,Kimberly Jayne `` Kim '' Raver
7060,Answer the question concisely with only the answer: who is the girl in somebody i used to know? Answer:,Kim bra
69119,Answer the question concisely with only the answer: on which river is the annual boatrace between oxford and cambridge universities rowed? Answer:,The River Thames
9186,Answer the question concisely with only the answer: when is ask me how i know coming out? Answer:,"March 17, 2017"
20811,Answer the question concisely with only the answer: when is the premiere of game of thrones season 7? Answer:,"July 16, 2017"
18468,Answer the question concisely with only the answer: what is the meaning of abhi in hindi? Answer:,`` just now '' or `` now itself '' (ab meaning now)
30161,Answer the question concisely with only the answer: where is the general purpose of the constitution stated? Answer:,The Preamble to the United States Constitution
82349,Answer the question concisely with only the answer: western movie with dean martin and frank sinatra? Answer:,For Texas
76570,Answer the question concisely with only the answer: when was the first college founded in america? Answer:,1618
84066,Answer the question concisely with only the answer: who killed jax dad in sons of anarchy? Answer:,Gemma and Clay
41489,Answer the question concisely with only the answer: when did the new audi a4 come out? Answer:,June 2015
81633,Answer the question concisely with only the answer: in which 3 hemispheres is south america located? Answer:,"Western hemisphere, Southern Hemisphere, Northern Hemisphere"
64761,Answer the question concisely with only the answer: where does lost in the barrens take place? Answer:,Manitoba and southwestern North West Territories
26712,Answer the question concisely with only the answer: who did ohio fight for in the civil war? Answer:,The Union
13848,Answer the question concisely with only the answer: where does the last name stephenson originate from? Answer:,A medieval patronymic surname meaning `` son of Stephen ''
26363,Answer the question concisely with only the answer: who wrote the song can't live without you? Answer:,Pete Ham and Tom Evans
6076,Answer the question concisely with only the answer: who is the author of the science book experiments and observations on electricity published in 1751? Answer:,Benjamin Franklin
41048,Answer the question concisely with only the answer: what is the purpose of the mental foramen? Answer:,Transmits the terminal branches of the inferior alveolar nerve and vessels (the mental artery)
31008,Answer the question concisely with only the answer: which artist is representative of the detroit blues style? Answer:,John Lee Hooker
81534,Answer the question concisely with only the answer: when did the first season of the walking dead start? Answer:,"October 31, 2010"
15724,Answer the question concisely with only the answer: who plays murtaugh's wife on lethal weapon? Answer:,"Keesha Sharp, Darlene Love"
60281,Answer the question concisely with only the answer: who sings moon river breakfast at tiffany's? Answer:,Audrey Hepburn
34488,Answer the question concisely with only the answer: when did the first mad max come out? Answer:,1979
41399,Answer the question concisely with only the answer: where does a farewell to arms take place? Answer:,Italy
59284,Answer the question concisely with only the answer: who won the last football world cup 2014? Answer:,Germany
51149,Answer the question concisely with only the answer: who makes up the state council in russia? Answer:,Governors and presidents
55985,Answer the question concisely with only the answer: when was the last time the chicago white sox won a world series? Answer:,2005
45382,Answer the question concisely with only the answer: what is the meaning of gloria in excelsis deo? Answer:,Latin for `` Glory to God in the highest ''
42754,Answer the question concisely with only the answer: when did the us supreme court have 9 justices? Answer:,1869
78412,Answer the question concisely with only the answer: what became the standard german term for the art song? Answer:,Lieder
12346,Answer the question concisely with only the answer: what is another name for the caribbean islands? Answer:,Caribbean
52770,Answer the question concisely with only the answer: what is the nissan patrol called in usa? Answer:,Nissan Armada
74746,Answer the question concisely with only the answer: how many instruments in a full symphony orchestra? Answer:,"From seventy to over one hundred musicians, Depending on the work being played and the size of the venue"
50955,Answer the question concisely with only the answer: when can a governor declared a state of emergency? Answer:,"disaster, Civil unrest, Armed conflict"
53348,Answer the question concisely with only the answer: when was national development council established in india? Answer:,August 1952
35460,Answer the question concisely with only the answer: where did they film man from snowy river? Answer:,Victorian High Country
73128,Answer the question concisely with only the answer: what is name of fuel used in aeroplane? Answer:,"Jet fuel, Aviation fuel"
13441,Answer the question concisely with only the answer: who decided what would be in the bible? Answer:,The Christian biblical canons
85561,Answer the question concisely with only the answer: where is the cadbury creme egg factory located in england? Answer:,Birmingham
3303,Answer the question concisely with only the answer: who sings it's a rainy night in georgia? Answer:,Brook Benton
22081,Answer the question concisely with only the answer: who plays filch in the harry potter movies? Answer:,David John Bradley
83328,Answer the question concisely with only the answer: the light-independent reactions of photosynthesis take place in? Answer:,"The stoma, The fluid - filled area of a chloroplast outside the thylakoid membranes"
20612,Answer the question concisely with only the answer: who produces the most wheat in the world? Answer:,China
12444,Answer the question concisely with only the answer: who was the filipino doctor who discovered the antibiotic erythromycin? Answer:,Abelard Aguilar
51851,Answer the question concisely with only the answer: where does the prince's trust get money from? Answer:,"Voluntary income, Public Sector income"
10687,Answer the question concisely with only the answer: who ruled the soviet union with sole power in a regime of terror? Answer:,Stalin
5103,Answer the question concisely with only the answer: where are the visceral and parietal pericardium located? Answer:,Serous pericardium
15061,Answer the question concisely with only the answer: a hormone produced by the pituitary and regulates the function of another endocrine gland is called? Answer:,hypothalamus
27768,Answer the question concisely with only the answer: who sings i got a brand new key? Answer:,Melanie
14041,Answer the question concisely with only the answer: when did the golden age of tv start? Answer:,1950s
31839,Answer the question concisely with only the answer: when did the us reopen its diplomatic mission in cuba? Answer:,"July 20, 2015"
34921,Answer the question concisely with only the answer: where does the last name polanco originate from? Answer:,"Municipality of Poland, Cantabrian in Spain"
72944,Answer the question concisely with only the answer: who wrote if i said you had a beautiful body lyrics? Answer:,David Bellamy
35816,Answer the question concisely with only the answer: what is the name of thor's hammer in the movie? Answer:,Mjölnir
77448,Answer the question concisely with only the answer: who is the mom on stuck in the middle? Answer:,Suzy Diaz (Carina Vincent)
44650,Answer the question concisely with only the answer: who say let's get ready to rumble? Answer:,Michael Buffer
43248,Answer the question concisely with only the answer: when were the winter and summer olympics separated? Answer:,1992
47782,Answer the question concisely with only the answer: who sings im gonna swing from the chandelier? Answer:,SIA
22557,Answer the question concisely with only the answer: in which country is vikram sambat the official calendar? Answer:,Nepal
38344,Answer the question concisely with only the answer: who wrote the song life is a highway? Answer:,Tom Cochrane
2661,Answer the question concisely with only the answer: what is the area code for austin texas? Answer:,"737, 512"
38163,Answer the question concisely with only the answer: what is the song i got a brand new pair of roller skates about? Answer:,A girl with roller skates trying to attract the attention of a boy.
58568,Answer the question concisely with only the answer: when was the last time the seahawks didn't make the playoffs? Answer:,2011
71998,Answer the question concisely with only the answer: what bones produce red blood cells in adults? Answer:,Bone marrow
28330,Answer the question concisely with only the answer: when did the winter olympic games begin and where? Answer:,"1924, In Chamois, France"
54299,Answer the question concisely with only the answer: who plays mick in power rangers ninja steel? Answer:,Nelson Henderson
64074,Answer the question concisely with only the answer: who played kit marlowe in shakespeare in love? Answer:,Rupert Everett
14676,Answer the question concisely with only the answer: thirties brazilian actress known for her fruit-laden headgear? Answer:,Carmen Miranda
22487,Answer the question concisely with only the answer: what is the central intelligence agency's job? Answer:,"Tasked with gathering, processing, And analyzing national security information from around the world, Primarily through the use of human intelligence (HUM INT)"
44555,Answer the question concisely with only the answer: who said the phrase no taxation without representation? Answer:,Jonathan Mayhew
58778,Answer the question concisely with only the answer: who did manchester united play before the munich air disaster? Answer:,Red Star Belgrade
71955,Answer the question concisely with only the answer: who voices stoic in how to train your dragon? Answer:,Gerard Butler
2393,Answer the question concisely with only the answer: what is the alcohol limit for driving in england? Answer:,"80 mg / 100 ml alcohol in blood, 35 kg / 100 ml alcohol in breath, 107 mg / 100 ml alcohol in urine"
11050,Answer the question concisely with only the answer: when did world war ii in europe end? Answer:,1945
48487,Answer the question concisely with only the answer: who is credited with introducing massage into the medical profession? Answer:,Chinese medicine
28381,Answer the question concisely with only the answer: what book was the movie casino based on? Answer:,Casino : Love and Honor in Las Vegas
52948,Answer the question concisely with only the answer: who is the actor that does the allstate commercials? Answer:,Dennis Dexter Halbert
55943,Answer the question concisely with only the answer: where did the battle of preston take place? Answer:,At Walton - LE - Dale near Preston in Lancashire
74197,Answer the question concisely with only the answer: how long does a pygmy goat live for? Answer:,-- 18 years
9920,Answer the question concisely with only the answer: the fête galante is most associated with which artist? Answer:,Antoine Watteau
78355,Answer the question concisely with only the answer: 1st indian to win individual olympic gold medal? Answer:,Abhinav Indra
61669,Answer the question concisely with only the answer: is the descendants a movie or tv show? Answer:,Television film
58930,Answer the question concisely with only the answer: when was alcohol first used as a disinfectant? Answer:,"By the Sumerians, Who used beer as an antiseptic along with the dressing of wounds, Using up to 19 different types of beer."
80066,Answer the question concisely with only the answer: what's the name of the goat in ferdinand? Answer:,Lupe
17910,Answer the question concisely with only the answer: how many cards do you get when you play uno? Answer:,Seven cards
76567,Answer the question concisely with only the answer: what is one major function of arrector pili muscle contraction? Answer:,To provide insulation
22437,Answer the question concisely with only the answer: what is the fastest time at the belmont stakes? Answer:, 24
21201,Answer the question concisely with only the answer: who played the girl in the thriller video? Answer:,Ola Ray
12101,Answer the question concisely with only the answer: who played piano on cat stevens morning has broken? Answer:,Rick Waksman
74186,Answer the question concisely with only the answer: who wrote where has all the flowers gone? Answer:,Pete Seeger
81900,Answer the question concisely with only the answer: who signed the wrong scorecard at the masters? Answer:,Roberto De Vicenzo
23937,Answer the question concisely with only the answer: who wins ru pauls drag race season 7? Answer:,Violet Chichi
80797,Answer the question concisely with only the answer: who is the oldest child on family guy? Answer:,Megan `` Meg '' Griffin
69799,Answer the question concisely with only the answer: what voltage comes out of a car cigarette lighter? Answer:,12 V
74192,Answer the question concisely with only the answer: what are the base pair rules for rna? Answer:,"Watson - Crick base pairs (guanine - cytosine and adenine - uracil) permit the formation of short double-stranded helices, Non-Watson - Crick interactions (e.g., G-U or A-A) allow RNA's to fold into a vast range of specific three-dimensional structures"
5541,Answer the question concisely with only the answer: when will the 2019 cricket world cup fixtures be announced? Answer:,26 April 2018
84305,Answer the question concisely with only the answer: what treaty did europe believe achieved peace for our time? Answer:,The Munich Agreement and the Anglo - German Declaration
59278,Answer the question concisely with only the answer: who won the mtv box cricket league 2018? Answer:,Lucknow Arabs
81303,Answer the question concisely with only the answer: what was the terrain like on the santa fe trail? Answer:,"plains, desert, mountains"
58657,Answer the question concisely with only the answer: which organisms can use glycolysis to produce atp? Answer:,"In nearly all organisms, Both aerobic and anaerobic"
40130,Answer the question concisely with only the answer: who played goober pyle on the andy griffith show? Answer:,George Smith Lindsey
8841,Answer the question concisely with only the answer: who does elena end up with in bitten? Answer:,Clay
69196,Answer the question concisely with only the answer: where does the colorado river empty into the gulf? Answer:,Between Baja California and Sonora
16893,Answer the question concisely with only the answer: where did the french colonize the new world? Answer:,"Much of eastern North America, On a number of Caribbean islands, In South America"
54198,Answer the question concisely with only the answer: who's the actress that plays abby on ncis? Answer:,Paula Permeate
58968,Answer the question concisely with only the answer: where are the new england patriots located at? Answer:,"Gillette Stadium in the town of Foxborough, Massachusetts, Which is located 21 miles (34 km) southwest of downtown Boston, Massachusetts and 20 miles (32 km) northeast of downtown Providence, Rhode Island"
32035,Answer the question concisely with only the answer: who won the golden ball in champions trophy 2017? Answer:,Hasan Ali
73516,Answer the question concisely with only the answer: how many years did moses malone lead the league in rebounds? Answer:,six
20850,Answer the question concisely with only the answer: who was the pilot of the plane that dropped the bomb on nagasaki? Answer:,Major General Charles W. Sweeney
5677,Answer the question concisely with only the answer: who plays boss baby in the tv show? Answer:,JP Karla
86097,Answer the question concisely with only the answer: who sang i'm going to hire a wino to decorate our home? Answer:,American country music artist David Frizzell
8037,Answer the question concisely with only the answer: what programming language is used in microsoft access? Answer:,Visual Basic for Applications
56700,Answer the question concisely with only the answer: i can be your hero baby original singer? Answer:,Enrique Iglesias
65420,Answer the question concisely with only the answer: when did the black death get to europe? Answer:,1347
60987,Answer the question concisely with only the answer: which world culture features the singing style known as call and response? Answer:,Sub-Saharan African cultures
32188,Answer the question concisely with only the answer: the term that means disease of the endocrine system is? Answer:,Endocrinopathies
38372,Answer the question concisely with only the answer: what are the counties in el paso tx? Answer:,El Paso County
32936,Answer the question concisely with only the answer: when did france lose the world cup final? Answer:,2006
22442,Answer the question concisely with only the answer: when did 3 point shot start in nba? Answer:,1979 -- 80 season
86015,Answer the question concisely with only the answer: who sings on avicii i could be the one? Answer:,Swedish singer Newbie Bad
46291,Answer the question concisely with only the answer: voice of the t rex in toy story? Answer:,Wallace Michael Shawn
49138,Answer the question concisely with only the answer: who is the fastest person to have sailed around the world single-handed? Answer:,Joshua Slocum
42050,Answer the question concisely with only the answer: how many games do you have to win in the nba finals to be champions? Answer:,Best - of - seven
1540,Answer the question concisely with only the answer: who sang take my breath away top gun? Answer:,Berlin
45683,Answer the question concisely with only the answer: one hundred thousand is equal to how many lakhs? Answer:,one
84143,Answer the question concisely with only the answer: what year did the mini cooper countryman come out? Answer:,2010
7356,Answer the question concisely with only the answer: why is andy in prison in shawshank redemption? Answer:,For the murder of his wife and her lover
13855,Answer the question concisely with only the answer: where are the san diego chargers playing football? Answer:,The Grubhub Center
14649,Answer the question concisely with only the answer: when did 2nd world war started and ended? Answer:,September 1939 -- September 1945 (
65447,Answer the question concisely with only the answer: what is the meaning of samar in hindi? Answer:,"Battlefield Commander, war"
66284,Answer the question concisely with only the answer: where do plants obtain the chemicals that they need to sustain life? Answer:,"From the soil through their roots, From the air (mainly consisting of nitrogen and oxygen) through their leaves"
83762,Answer the question concisely with only the answer: what season is the current season of vikings? Answer:,fifth
32320,Answer the question concisely with only the answer: germany took control of austria and an area of czechoslovakia called the? Answer:,The Sudetenland
3304,Answer the question concisely with only the answer: when did india won the first world cup? Answer:,1983
1409,Answer the question concisely with only the answer: legal age to get a driver's licence in sa? Answer:,18
39677,Answer the question concisely with only the answer: who is the americas got talent winner 2017? Answer:,Darcy Lynne Farmer
8499,Answer the question concisely with only the answer: who sings with michael buble on quando quando quando? Answer:,Nelly Furtado
12569,Answer the question concisely with only the answer: what was the original name of bank of america? Answer:,Bank of Italy
70490,Answer the question concisely with only the answer: who plays cain on young and the restless? Answer:,Daniel Richard Goddard
50915,Answer the question concisely with only the answer: where is the hotel located in the movie the shining? Answer:,"The Stanley Hotel, Estes Park, Colorado"
53672,Answer the question concisely with only the answer: who was the actor that played newly on gunsmoke? Answer:,"Walter Clarence Taylor, III, Known as Buck Taylor"
10234,Answer the question concisely with only the answer: who overthrew the moneychangers' tables in the temple? Answer:,Jesus
65001,Answer the question concisely with only the answer: why is ancient greece often labeled the start of western civilization? Answer:,"First democratic system of government, Advances in philosophy, Science and mathematics"
37072,Answer the question concisely with only the answer: who sings the song i am a warrior? Answer:,Scandal
19504,Answer the question concisely with only the answer: who is the netflix movie roxanne roxanne about? Answer:,Roxanne Shane
11179,Answer the question concisely with only the answer: who made the universal declaration of human rights? Answer:,The United Nations General Assembly
62184,Answer the question concisely with only the answer: on whose work was the myers-briggs temperament indicator based? Answer:,Carl Jung
77566,Answer the question concisely with only the answer: when was the first weapon ready thermonuclear bomb tested? Answer:,1952
77909,Answer the question concisely with only the answer: who wrote all the songs in the sound of music? Answer:,"Richard Rodgers, Oscar Hammerstein II"
24570,Answer the question concisely with only the answer: is staten island in new jersey or new york? Answer:,New York
77019,Answer the question concisely with only the answer: how old is ian from shameless season 1? Answer:,15
21104,Answer the question concisely with only the answer: where was the first mardi gras parade held? Answer:,"Mobile, Alabama"
57130,Answer the question concisely with only the answer: georges melie’s film a trip to the moon is known for being? Answer:,"The earliest example of the science fiction film genre and, More generally, As one of the most influential films in cinema history"
63438,Answer the question concisely with only the answer: when did houston astros join the american league? Answer:,In 2013
83993,Answer the question concisely with only the answer: who sings i'll be loving you forever? Answer:,New Kids on the Block
27682,Answer the question concisely with only the answer: possession of burglary tools criminal code of canada? Answer:,Section 348
68493,Answer the question concisely with only the answer: what is the physical nature of the hydrogen bond? Answer:,A hydrogen atom attached to a relatively electronegative atom will play the role of the hydrogen bond donor
29846,Answer the question concisely with only the answer: when do you use the left hand rule in physics? Answer:,As a simple way of working out the direction of motion in an electric motor
65657,Answer the question concisely with only the answer: in what part of the body is the cephalic vein located? Answer:,In the arm
58120,Answer the question concisely with only the answer: where did the mayflower land in the new world? Answer:,Cape Cod
59934,Answer the question concisely with only the answer: where were the olympic games held for the first time in asia? Answer:,Tokyo
3681,Answer the question concisely with only the answer: where did the idea for the wizard of oz come from? Answer:,Drawn from Baum's experiences
42585,Answer the question concisely with only the answer: who sings everybody is working for the weekend? Answer:,Lover boy
60958,Answer the question concisely with only the answer: the temple of athena nike was built with? Answer:,White Enteric marble
62283,Answer the question concisely with only the answer: within the chain of infection the disease producing agent is referred to as? Answer:,Infectious disease
62029,Answer the question concisely with only the answer: board game that takes 1500 hours to complete? Answer:,The Campaign for North Africa
56250,Answer the question concisely with only the answer: who was the film a beautiful mind based on? Answer:,"John Nash, A Nobel Laureate in Economics"
32995,Answer the question concisely with only the answer: definition of the gift of the holy spirit? Answer:,An enumeration of seven spiritual gifts
75199,Answer the question concisely with only the answer: who recommended that upper and lower canada be merged and given a sole responsible government? Answer:,Lord Durham
4022,Answer the question concisely with only the answer: who voiced the pink alien in american dad? Answer:,Kim Kardashian
16904,Answer the question concisely with only the answer: what is the concealed carry law in arkansas? Answer:,"As of August 16, 2013 permits are no longer required to concealed carry a handgun when upon a journey. However, There is some confusion over the legality of permitless carry in Arkansas. For concealed carry, Arkansas still offers CCW permits on a `` shall issue '' basis. Open carry of handguns is permitted in some counties, And seems to be legal by a simple reading of the law, Yet some Arkansas states officials deny that it is legal."
20513,Answer the question concisely with only the answer: where did the dust bowl occur in the 1930's? Answer:,The American and Canadian prairies
54941,Answer the question concisely with only the answer: where did european colonization of australia and oceania begin? Answer:,16th century
77035,Answer the question concisely with only the answer: when did man first start wearing wedding rings? Answer:,During the 20th century
85251,Answer the question concisely with only the answer: who has been elected next president of united nation in the first week of june? Answer:,Miroslaw Lack of Slovakia
10437,Answer the question concisely with only the answer: when did the war of spanish succession end? Answer:,1714
28312,Answer the question concisely with only the answer: how many stones were used to build the statue of lincoln? Answer:,twenty-eight
42620,Answer the question concisely with only the answer: who plays the queen in episode 1 star wars? Answer:,Natalie Portman
85388,Answer the question concisely with only the answer: who had the idea for the laws that established the carbon tax? Answer:,Gillard Labor Government
12493,Answer the question concisely with only the answer: when did the king of thailand pass away? Answer:,13 October 2016
