Unnamed: 0,questions,short_answers,responses,matches
20,Answer the question concisely with only the answer: where does the electricity come from in a lemon battery? Answer:,Reaction of the metals,The electrodes of the lemon battery,1
21,Answer the question concisely with only the answer: who was bmw nearly sold to in 1959? Answer:,Daimler - Benz,Mercedes-Benz. 1959,1
22,Answer the question concisely with only the answer: what are the twins called in everybody loves raymond? Answer:,"Michael, Geoffrey",Robert and Michael Barone.,0
23,Answer the question concisely with only the answer: what episode of the office is the garden party? Answer:,"Fourth episode of the eighth season, 156th","Season 4, Episode",1
24,Answer the question concisely with only the answer: when was the national food for work programme launched? Answer:,"November 14, 2004","2001. 
When",0
25,Answer the question concisely with only the answer: when approximately did the genre of funk surface? Answer:,The mid-1960s,The genre of funk surfaced in,1
26,Answer the question concisely with only the answer: when did the first smart phones come out? Answer:,1999,"1992.
Answer the",0
27,Answer the question concisely with only the answer: who is the lead singer of bad wolves? Answer:,Tommy Next,"Tommy English. 
Who is",1
28,Answer the question concisely with only the answer: who played milk lady in open all hours? Answer:,Barbara Flynn,"Angela Thorne. 
Answer",0
29,Answer the question concisely with only the answer: when is the new gorillaz album coming out 2018? Answer:,29 June 2018,No official release date has been,0
30,Answer the question concisely with only the answer: who was edwards dating on grey's anatomy? Answer:,Jackson,Dr. Finn Dandridge,0
31,Answer the question concisely with only the answer: who wrote the song i won't dance? Answer:,"Jerome Kern, Oscar Hammerstein II, Otto Hardback, Dorothy Fields, Jimmy McHugh","Frankie Laine. 
Who",0
32,Answer the question concisely with only the answer: who sings the song say you love me? Answer:,Jessie Ware,"Justin Bieber.
Who sings the",0
33,Answer the question concisely with only the answer: who voices hiccup from how to train your dragon? Answer:,Jonathan Adam Saunders `` Jay '' Baruch,Jay Baruchel.,1
34,Answer the question concisely with only the answer: where does the term petty officer come from? Answer:,Age of Sail,The term petty officer comes from,1
35,Answer the question concisely with only the answer: who played gwen in weekend at bernie's? Answer:,Catherine Mary Stewart,"Doris Roberts. 
Answer",0
36,Answer the question concisely with only the answer: what were the blimps used for in ww2 in london? Answer:,"To defend against dive bombers flying at heights up to, 000 feet (,500 m)","Observation and reconnaissance.

## Step",1
37,Answer the question concisely with only the answer: when did the new york stock exchange begin? Answer:,"May 17, 1792",1792. when was,1
38,Answer the question concisely with only the answer: who died from the show sons of anarchy? Answer:,Jonathan Kendrick Lewis,"Jackson ""Jax"" T",0
39,Answer the question concisely with only the answer: where is orange is the new black filmed? Answer:,"The old Rockland Children's Psychiatric Center in Rockland County, New York","New York City, USA.",1
40,Answer the question concisely with only the answer: when was the second amendment put in place? Answer:,"December 15, 1791","1791. 
The",1
41,Answer the question concisely with only the answer: how high above sea level is jacksonville fl? Answer:,The highest point in Jacksonville is only 40 feet (12. Meters) above sea level,10 ft. Answer the,1
42,Answer the question concisely with only the answer: who does the voting for the golden globes? Answer:,93 members of the Hollywood Foreign Press Association,The Hollywood Foreign Press Association (,1
43,Answer the question concisely with only the answer: who has struck out the most in major league history? Answer:,Reggie Jackson,Nolan Ryan. Nolan Ryan holds,0
44,Answer the question concisely with only the answer: when did women's hockey became an olympic sport? Answer:,1998,"1998. 
Answer",1
45,Answer the question concisely with only the answer: when did toyota start making the rav4 hybrid? Answer:,April 2015,"2015.
Toyota started",1
46,Answer the question concisely with only the answer: when did the han dynasty invent the wheelbarrow? Answer:,231 AD,The Han Dynasty did not invent,0
47,Answer the question concisely with only the answer: ranking of st john's medical college bangalore? Answer:,14th,6th. According to,0
48,Answer the question concisely with only the answer: who won the election in a sound of thunder? Answer:,Deutsche,"Eckels. 
Answer the",0
49,Answer the question concisely with only the answer: where does the fluid from a runny nose come from? Answer:,The mucous membranes that line the nasal cavities,The fluid from a runny,1
50,Answer the question concisely with only the answer: who played jack hyde in fifty shades darker? Answer:,Eric Johann Johnson,"Eric Johnson. 
The",1
51,Answer the question concisely with only the answer: when was penicillin first used on a large scale basis? Answer:,1942,"1941.
Answer the",0
52,Answer the question concisely with only the answer: who becomes president if the president and vp die? Answer:,Speaker of the House of Representatives,The Speaker of the House becomes,1
53,Answer the question concisely with only the answer: what type of division makes possible the development of multilayered epidermis? Answer:,Periclinal cellular division,apical meristematic division,1
54,Answer the question concisely with only the answer: what is half blood prince in harry potter? Answer:,Mysterious former student who wrote numerous tips and spells in his Potions textbook that Harry uses to achieve superb results,The sixth book in the Harry,1
55,Answer the question concisely with only the answer: who won the 100 meter dash in the 2016 olympics? Answer:,Usain Bolt,"Usain Bolt
Answer the",1
56,Answer the question concisely with only the answer: when was universal declaration of human rights adopted? Answer:,10 December 1948,"December 10, 194",1
57,Answer the question concisely with only the answer: when was the last western roman emperor overthrown? Answer:,31 October AD 475,"476 CE. 
When",0
58,Answer the question concisely with only the answer: how many games is the first round of the nba playoffs? Answer:,Best - of - seven series,"7
Answer the question",0
59,Answer the question concisely with only the answer: when did the first michael vey book come out? Answer:,2011,"2010. 
The",0
60,Answer the question concisely with only the answer: in india which businessman had pilot license number one? Answer:,J.R.D. Tata,"JRD Tata. 
Answer",1
61,Answer the question concisely with only the answer: when did howl's moving castle come out? Answer:,"World premiere at the Venice Film Festival on September 2004, Released in Japanese theaters on 20 November 2004","2004. 
How",1
62,Answer the question concisely with only the answer: who is the yellow rose of texas named after? Answer:,Emily D. West,"Emily D. West.
Answer",1
63,Answer the question concisely with only the answer: who plays pennywise in stephen king's it 2017? Answer:,Bill Starboard,Bill Skarsgard.,1
64,Answer the question concisely with only the answer: who won the andre the giant battle royal? Answer:,Matt Hardy,Baron Corbin. Who won,0
65,Answer the question concisely with only the answer: who plays louis in a million ways to die in the west? Answer:,Evan Jones,Seth MacFarlane.,0
66,Answer the question concisely with only the answer: where did the framers get the idea of separation of powers? Answer:,"The writings of Charles de Secondat, Baron de Montesquieu in The Spirit of the Laws","From the British government, but",1
67,Answer the question concisely with only the answer: when the commonwealth of australia was formed it was a dominion. this means that it was? Answer:,Autonomous Communities within the British Empire,subject to the british monarch.,1
68,Answer the question concisely with only the answer: who wrote is you is or is you ain't my baby lyrics? Answer:,"Jordan, Billy Austin","Barry White. 
Who wrote",0
69,Answer the question concisely with only the answer: what is the meaning of lc in banking? Answer:,Letter of credit,"Loan Credit.
What is the",1
70,Answer the question concisely with only the answer: who has the most albums sold of all time? Answer:,"The Beatles are considered the highest - selling band, Elvis Presley is considered the highest - selling individual artist based on sales claims, Rihanna is the highest - selling individual artist based on certified units","The Beatles. 

Note:",1
71,Answer the question concisely with only the answer: who becomes king after joffrey dies in game of thrones? Answer:,Tom men,Tommen Baratheon.,1
72,Answer the question concisely with only the answer: when was the us department of education established? Answer:,"October 17, 1979",1979. was the,1
73,Answer the question concisely with only the answer: who represents the government in front of the supreme court? Answer:,The United States Solicitor General,"The Solicitor General.
The",1
74,Answer the question concisely with only the answer: the us federal income tax is progressive which means that? Answer:,The tax rate increases as the taxable amount increases,It gets progressively higher as income,1
75,Answer the question concisely with only the answer: where is the st. lawrence river in canada? Answer:,"Traverses the Canadian provinces of Quebec and Ontario, And is part of the international boundary between Ontario, Canada, And the U.S. state of New York","Eastern Canada.
Answer the question",1
76,Answer the question concisely with only the answer: who won record of the year at the grammys? Answer:,Tom Cone,"Taylor Swift. 
Who won",0
77,Answer the question concisely with only the answer: meaning of the song if you seek amy? Answer:,About how society perceives her life,"The song ""If You Seek",0
78,Answer the question concisely with only the answer: when did the tax year change in ireland? Answer:,2002,2013. When did,0
79,Answer the question concisely with only the answer: where is tom hanks from in the terminal? Answer:,New York,"Cleveland, Ohio. 
The",0
80,Answer the question concisely with only the answer: who wrote the journey to the center of the earth? Answer:,Jules Verne,"Jules Verne.
Answer",1
81,Answer the question concisely with only the answer: korean movie about a man on an island? Answer:,Castaway on the Moon,"""The Host"" is not",1
82,Answer the question concisely with only the answer: who wrote all i really want to do? Answer:,Bob Dylan,The Kinks. who wrote,0
83,Answer the question concisely with only the answer: who plays charlie in cheaper by the dozen? Answer:,Welling,"Steve Martin. 
Who plays",0
84,Answer the question concisely with only the answer: what is the normal range for urea nitrogen? Answer:,Between and 20 mg of urea nitrogen per 100 ml (-- 20 mg / DL) of blood,6-20 mg/d,1
85,Answer the question concisely with only the answer: when was the last game of thrones book published? Answer:,2011,"November 20, 201",0
86,Answer the question concisely with only the answer: when did girl on the train come to theaters? Answer:,"October, 2016","October 7, 201",1
87,Answer the question concisely with only the answer: who wrote the song the sounds of silence? Answer:,Paul Simon,"Paul Simon. 
The song",1
88,Answer the question concisely with only the answer: who sings the song i'm going down? Answer:,Rose Royce,"Billy Currington
Answer",0
89,Answer the question concisely with only the answer: who sang i just called to say i love you? Answer:,Stevie Wonder,"Stevie Wonder. 
The",1
90,Answer the question concisely with only the answer: who is the governor of your state now florida? Answer:,Rick Scott,"Ron DeSantis.
Who",0
91,Answer the question concisely with only the answer: the great falls of paterson flows over what type of rock? Answer:,basalt,"Basalt.

## Step",1
92,Answer the question concisely with only the answer: when did puerto become part of the usa? Answer:,1917,"1898.
Answer the",0
93,Answer the question concisely with only the answer: how many degrees of freedom does the​ t-statistic have? Answer:,"N − k) degrees of freedom, Where n is the number of observations, And k is the number of regressors (including the intercept) .","1
Step-by-step",0
94,Answer the question concisely with only the answer: who won fifa world cup 2018 runner up? Answer:,Croatia,"Croatia. 
Who won the",1
95,Answer the question concisely with only the answer: where does the ossification of long bones begin? Answer:,Endochondral ossification,The metaphysis of the long,0
96,Answer the question concisely with only the answer: who played in the tv series mission impossible? Answer:,"Steven Hill, Peter Graves","Peter Graves, Martin Landau",1
97,Answer the question concisely with only the answer: where are 2020 summer olympics going to be held? Answer:,Tokyo,"Tokyo, Japan.
Answer the",1
98,Answer the question concisely with only the answer: what is the legal age of marriage in usa? Answer:,"18, Nebraska (19), Mississippi (21)",18 years old.,0
99,Answer the question concisely with only the answer: when did apple tv 2nd generation come out? Answer:,"September, 2010",October 2010.,1
100,Answer the question concisely with only the answer: what movie was the song self control in? Answer:,The fact - based 1989 TV movie The Preppies Murder,"Flashdance. 
The song",1
101,Answer the question concisely with only the answer: how often do they do a census uk? Answer:,"decennial, That is, Held every ten years","Every 10 years.
What",1
102,Answer the question concisely with only the answer: who is doc brown in back to the future? Answer:,Christopher Allen Lloyd,"Christopher Lloyd. 
The movie",1
103,Answer the question concisely with only the answer: where did the titanic sink in the atlantic ocean? Answer:,The North Atlantic Ocean,"North Atlantic Ocean. 
The",1
104,Answer the question concisely with only the answer: how do you say peace be with you in muslim? Answer:,As - salami ʿalaykum,Assalamu alaik,1
105,Answer the question concisely with only the answer: where is the deepest part of the atlantic ocean located? Answer:,The boundary between the Caribbean Sea and the Atlantic Ocean,The Puerto Rico Trench is,1
106,Answer the question concisely with only the answer: where can barium be found in the world? Answer:,Never found in nature,Barium can be found in,1
107,Answer the question concisely with only the answer: who has the most hits in hip hop? Answer:,Drake,The Notorious B.I.G,0
108,Answer the question concisely with only the answer: who played spyder in once upon a time in venice? Answer:,Jason Momoa,"Owen Wilson. 
Answer the",0
109,Answer the question concisely with only the answer: where does the coco de mer tree grow? Answer:,The Seychelles islands of Praline and Curie use,The Seychelles and the,1
110,Answer the question concisely with only the answer: where did the term viet cong come from? Answer:,"A contraction of View Nam Cong - San (Vietnamese communist), Or alternatively View gain Cong San (`` Communist Traitor to Vietnam '')","The term ""Viet Cong""",1
111,Answer the question concisely with only the answer: what is the democratic response to the sotu? Answer:,Response to the State of the Union address,Criticism and counter speech.,0
112,Answer the question concisely with only the answer: the fresh prince of bel air them song? Answer:,Yo Home to Be - Air,The Fresh Prince of Bel-A,1
113,Answer the question concisely with only the answer: who played cousin millie on father knows best? Answer:,Susan Oliver,"Haylene Hanford.
Who",0
114,Answer the question concisely with only the answer: where will the 2022 soccer world cup be held? Answer:,Qatar,Qatar. Explanation: The,1
115,Answer the question concisely with only the answer: who said we have a failure to communicate? Answer:,"From the 1967 film Cool Hand Luke, Spoken in the movie first by Brother Martin (as the Captain, A prison warden) and later, abridged, By Paul Newman (as Luke, A stubborn prisoner)",Sonny. &nbsp;,0
116,Answer the question concisely with only the answer: who plays j.t. on the young and the restless? Answer:,Thaddeus Rowe Duckbill,1.0.1,0
117,Answer the question concisely with only the answer: who played lumiere in original beauty and the beast? Answer:,Jerry Reach,Jerry Orbach. who played,1
118,Answer the question concisely with only the answer: what is darry's last name in the outsiders? Answer:,Curtis,"Hinton.
What is D",0
119,Answer the question concisely with only the answer: where was the movie in the heat of the night made? Answer:,"Sparta, Illinois","Clarksdale, Mississippi.",0
120,Answer the question concisely with only the answer: what type of memory does reid have on criminal minds? Answer:,Eidetic memory,"Short-term. 
Note:",0
121,Answer the question concisely with only the answer: who plays johnny lawrence in the karate kid? Answer:,William Michael Aka,"William Zabka.
Answer",1
122,Answer the question concisely with only the answer: what is the prince's name in princess and the frog? Answer:,Prince Naveen,Prince Naveen.,1
123,Answer the question concisely with only the answer: where does most of the digestion and absorption take place? Answer:,Small intestine,"Small intestine. 

## Step",1
124,Answer the question concisely with only the answer: where did dr seuss wrote most of his books? Answer:,"La Jolla, California",New York City and La J,1
125,Answer the question concisely with only the answer: who wrote the song the very thought of you? Answer:,Ray Noble,"Ray Noble.
The Very Thought",1
126,Answer the question concisely with only the answer: how to get carbon out of the atmosphere? Answer:,"Bio-energy with carbon capture and storage, biochar, Ocean fertilization, Enhanced weathering, Direct air capture","Carbon capture and storage, re",1
127,Answer the question concisely with only the answer: what is the last movie of jason bourne? Answer:,Jason Bourne,Jason Bourne (2016,1
128,Answer the question concisely with only the answer: when did jerome translated the bible into latin? Answer:,390,Around 382-405 AD,0
129,Answer the question concisely with only the answer: when did the 76ers go to the finals? Answer:,In 2001,"2001.
Answer the",1
130,Answer the question concisely with only the answer: who played joey's girlfriend kathy on friends? Answer:,Page Valerie Brewster,"Paget Brewster.
Answer",1
131,Answer the question concisely with only the answer: who won the super bowl steelers or cardinals? Answer:,Steelers,"Steelers.?
I think there",1
132,Answer the question concisely with only the answer: how much did matt damon win in rounders? Answer:,"Over $60,000","26,000. How",0
133,Answer the question concisely with only the answer: most goals scored in a soccer game world cup? Answer:,10,10 goals. Source:,1
134,Answer the question concisely with only the answer: who plays the dark fairy once upon a time? Answer:,Jaime Murray,Keegan Connor Tracy.,0
135,Answer the question concisely with only the answer: where does the running of the bulls end? Answer:,The bullring,"Plaza de Toros.
The",1
136,Answer the question concisely with only the answer: when is the next digimon tri coming out? Answer:,"September 20, 2018",There is no official release date,0
137,Answer the question concisely with only the answer: when did france lose alsace and lorraine to germany? Answer:,1871,"1871.
Answer the",1
138,Answer the question concisely with only the answer: when does tom paris get his rank back? Answer:,Just before the events of `` Unimatrix Zero '',When he gets back to Earth,0
139,Answer the question concisely with only the answer: who founded the first free web based email service hotmail? Answer:,"Jack Smith, Saber Bhatia",Sabeer Bhatia,1
140,Answer the question concisely with only the answer: who is the head of goverment in france? Answer:,A prime minister,"Emmanuel Macron.
Who is the",1
141,Answer the question concisely with only the answer: who sings ding dong the witch is dead in the wizard of oz? Answer:,"Munchkins, Linda, Dorothy Gale","Bert Lahr
Answer the",0
142,Answer the question concisely with only the answer: where is dense regular collagenous connective tissue found? Answer:,Between different tissues in the human body,In tendons and ligaments,1
143,Answer the question concisely with only the answer: who ruled over the romans for their first three centuries? Answer:,Seven kings,"The Roman Senate. However,",0
144,Answer the question concisely with only the answer: boston legal was a spinoff of what show? Answer:,The Practice,"The Practice.
Answer the question",1
145,Answer the question concisely with only the answer: when did they stop making silver dollar coins? Answer:,"December 11, 2011","1970. 
Answer",0
146,Answer the question concisely with only the answer: in a network translates internet domain and host names to ip addresses? Answer:,The Domain Name System (DNS),"DNS.
What is the role",1
147,Answer the question concisely with only the answer: is there an expiry date on nectar points? Answer:,Not normally,No.... Read more Read,0
148,Answer the question concisely with only the answer: when did frontier take over verizon in california? Answer:,"July, 2010",They did not. Frontier acquired,0
149,Answer the question concisely with only the answer: what album is believer by imagine dragons on? Answer:,Evolve,"Evolve. 
What album",1
150,Answer the question concisely with only the answer: the east india company was founded in india during the reign of which mughal emperor? Answer:,Our - up - din Salem Jahangir,"Akbar
The East India",0
151,Answer the question concisely with only the answer: what happened to sam the weatherman on good morning america? Answer:,"Champion announced his departure from ABC on December, 2013, To become an on - air presence at and managing editor of The Weather Channel",He retired. What is the,1
152,Answer the question concisely with only the answer: who plays the prince in kath and kimderella? Answer:,Erin Mulally,Alexx Ekobor.,0
153,Answer the question concisely with only the answer: who did america fight in the war of 1812? Answer:,The United Kingdom,"Great Britain.
Answer the question",1
154,Answer the question concisely with only the answer: who did i will always love you first? Answer:,Dolly Parton,"Whitney Houston. 
I Will",0
155,Answer the question concisely with only the answer: where is the palace of fine arts located? Answer:,"Marina District of San Francisco, California","San Francisco, California.",1
156,Answer the question concisely with only the answer: where was the world's first bobsleigh track built? Answer:,"St. Moritz, Switzerland","St. Moritz, Switzerland",1
157,Answer the question concisely with only the answer: who wrote the book of sirach in the bible? Answer:,Jewish scribe Ben Sir of Jerusalem,Jesus ben Sira (also,1
158,Answer the question concisely with only the answer: when did sudan the last white rhino die? Answer:,19 March 2018,"2018.
Answer the",1
159,Answer the question concisely with only the answer: who decides whether a bill is a money bill in india? Answer:,The Speaker of the OK Sasha,Speaker of the Lok Sabha.,1
160,Answer the question concisely with only the answer: where did the central pacific begin building the transcontinental railroad? Answer:,"Omaha, Nebraska","Sacramento, California.
Answer the",0
161,Answer the question concisely with only the answer: what does the srt stand for on dodge vehicles? Answer:,Street & Racing Technology,Street and Racing Technology. What,1
162,Answer the question concisely with only the answer: who won the second series of bake off? Answer:,Joanne Wheatley,Edd Kimber. who won,0
163,Answer the question concisely with only the answer: when did the roman republic become an empire? Answer:,27 BC,27 bce.?,1
164,Answer the question concisely with only the answer: who is the voice of garfield the cat? Answer:,"Lorenzo Music, Frank Walker, Bill Murray","Lorenzo Music. 
Loren",1
165,Answer the question concisely with only the answer: when does the flash show up in smallville? Answer:,Season four episode `` Run '',"Season 3, Episode",1
166,Answer the question concisely with only the answer: where did the name chupa chups come from? Answer:,"From the Spanish verb char, Meaning `` to suck ''",The name Chupa Chups,1
167,Answer the question concisely with only the answer: who won the 2007 little league world series? Answer:,"The U.S. champion from Warner Robins, Georgia",The Waipio Little League,1
168,Answer the question concisely with only the answer: who is the samurai who smells like sunflowers? Answer:,"Kashmir Seize, A Christian samurai who played a leading role in the Himalaya Rebellion",Miyamoto Musashi.,1
169,Answer the question concisely with only the answer: who sings the intro to dog the bounty hunter? Answer:,Ozzy Osbourne,Dog the Bounty Hunter (Du,0
170,Answer the question concisely with only the answer: how many members form a jury in scotland? Answer:,At least fifteen,"15
Answer the question",0
171,Answer the question concisely with only the answer: kowloon bay international trade & exhibition centre address? Answer:,"Trademark Drive, Kowloon Bay, Kowloon, Hong Kong",1 Trademart Drive,0
172,Answer the question concisely with only the answer: the largest state capitol building in the u.s. is located in which state? Answer:,Texas,Oklahoma. The largest state cap,0
173,Answer the question concisely with only the answer: who had the longest tenure as chief justice of india? Answer:,Hesitant Vishnu Chandrachud,Justice Hidayatullah.,0
174,Answer the question concisely with only the answer: beauty and the beast 2017 where was it filmed? Answer:,"Shepparton Studios in Surrey, United Kingdom","Various locations in the UK,",1
175,Answer the question concisely with only the answer: who sang the song d i s c o? Answer:,Ottawa,Ottawan. Who sang the,1
176,Answer the question concisely with only the answer: who laid out the first mughal garden in india? Answer:,Ba bur,"Babur.
Answer the question",1
177,Answer the question concisely with only the answer: who owns the majority of the united states debt? Answer:,The public,"China.
Who owns the majority",1
178,Answer the question concisely with only the answer: who has qualified for world cup the most? Answer:,Brazil,"Brazil. 
Answer the question",1
179,Answer the question concisely with only the answer: where does the president of dominican republic live? Answer:,The National Palace,The President of the Dominican Republic,1
180,Answer the question concisely with only the answer: how does temperature change with depth in earth's interior? Answer:,Increasing temperature with respect to increasing depth,"it increases.
How Does Temperature",1
181,Answer the question concisely with only the answer: when did the us involvement in vietnam end? Answer:,30 April 1975,"April 30, 197",1
182,Answer the question concisely with only the answer: what is the role of akshay kumar in naam shabana? Answer:,Ajay Singh,Akshay Kumar plays the,0
183,Answer the question concisely with only the answer: where do the robertsons from duck dynasty live? Answer:,"Monroe and West Monroe, Louisiana","West Monroe, Louisiana.
The",1
184,Answer the question concisely with only the answer: how many years ago did wolves evolve into dogs? Answer:,"20,000 - 40,000 GBP","15,000 to",0
185,Answer the question concisely with only the answer: when did sunday shopping start in nova scotia? Answer:,October 2006,"2017. 

Here",0
186,Answer the question concisely with only the answer: what is an example of a web server? Answer:,Apache,"Apache.
What is an example",1
187,Answer the question concisely with only the answer: how many times have broncos been to super bowl? Answer:,eight,"8
Answer the question",0
188,Answer the question concisely with only the answer: where does the right subclavian artery supply blood to? Answer:,Right arm,The right subclavian artery,1
189,Answer the question concisely with only the answer: siberia's economic significance is primarily due to its? Answer:,"Abundance of natural resources : oil, coal, wood, water",natural resources. Siberia's,1
190,Answer the question concisely with only the answer: when does the new series of endevour start? Answer:,February 2018,"2023. 
Note",0
191,Answer the question concisely with only the answer: where was the statue of liberty originally supposed to be cited? Answer:,Bedloe's Island (now named Liberty Island),Bedloe’s Island (now,1
192,Answer the question concisely with only the answer: where is the telephone area code 585 located? Answer:,"Rochester, Eight surrounding counties in western New York","New York. 
The area",1
193,Answer the question concisely with only the answer: who played mr. feeny on boy meets world? Answer:,William David Daniels,William Daniels. who played the,1
194,Answer the question concisely with only the answer: who played kit keller in a league of their own? Answer:,Lori Petty,"Geena Davis. 
Answer",0
195,Answer the question concisely with only the answer: in romeo and juliet who is queen mab? Answer:,The fairies' midwife,Queen Mab is a figure,0
196,Answer the question concisely with only the answer: who hosted are you the one second chances? Answer:,Kara mo Brown,Julian Edelman,0
197,Answer the question concisely with only the answer: when was the first movie made with sound? Answer:,1900,"1927. 
The",0
198,Answer the question concisely with only the answer: who plays cole reyes in i am frankie? Answer:,Carson Rowland,Mark Indelicato.,0
199,Answer the question concisely with only the answer: what was the name of the iraq war? Answer:,The Iraq War,"Operation Iraqi Freedom.
Operation Iraqi",1
200,Answer the question concisely with only the answer: where are the ozark mountains located in oklahoma? Answer:,Northeastern Oklahoma,The Ozark Mountains are located,0
201,Answer the question concisely with only the answer: when did easy like sunday morning come out? Answer:,1977,1975. When was,0
202,Answer the question concisely with only the answer: who played kit marlowe in shakespeare in love? Answer:,Rupert Everett,Gwyneth Paltrow,0
203,Answer the question concisely with only the answer: when does the new mission impossible movie come out? Answer:,"July 27, 2018","July 14, 202",1
204,Answer the question concisely with only the answer: who plays tammy 1 in parks and recreation? Answer:,Patricia Clarkson,"Retta. 
The Parks",0
205,Answer the question concisely with only the answer: who won the first individual medal in olympic for india? Answer:,Kinshasa Dadasaheb Jadhav,"Norman Pritchard.
Answer",0
206,Answer the question concisely with only the answer: who played john truitt in meet me in st louis? Answer:,Tom Drake,"Tom Drake.
Answer the question",1
207,Answer the question concisely with only the answer: where does the number 666 appear in the bible? Answer:,"The Book of Revelation, Of the New Testament",Revelation 13:18.,0
208,Answer the question concisely with only the answer: who wrote shawn mendes nothing holding me back? Answer:,"Mendes, Teddy Geiger, Geoff Barberton, Scott Harris","Shawn Mendes. 
Sh",0
209,Answer the question concisely with only the answer: where did the lakers play in the 80s? Answer:,Los Angeles,"The Forum.

## Step",0
210,Answer the question concisely with only the answer: when was the hydrogen fuel cell car invented? Answer:,The end of 2014,1959. Step,0
211,Answer the question concisely with only the answer: who disguised herself as a man to fight in the war? Answer:,Deborah Sampson Gannett,Deborah Sampson. Deborah Samp,1
212,Answer the question concisely with only the answer: who plays filch in the harry potter movies? Answer:,David John Bradley,"David Bradley. 
Answer the",1
213,Answer the question concisely with only the answer: where was the curious case of benjamin button filmed? Answer:,"New Orleans, Louisiana and the surrounding area","Various locations in New Orleans,",1
214,Answer the question concisely with only the answer: at the apex of cahokia the population stood at? Answer:,"Between, 000 and 40,000","20,000.
Answer",1
215,Answer the question concisely with only the answer: how much memory does nintendo switch games use? Answer:,"GB, GB, GB, GB, 16 GB, 32 GB","4gb. 
Here",1
216,Answer the question concisely with only the answer: age of tree by counting the annual ring? Answer:,Dendrochronology,"60

## Step",0
217,Answer the question concisely with only the answer: who's wife turned to a pillar of salt? Answer:,Lot's wife,"Lot's wife. 
Answer",1
218,Answer the question concisely with only the answer: who played agent brody on ncis new orleans? Answer:,Zoe McLellan,Shalita Grant. The,0
219,Answer the question concisely with only the answer: name of the present pope of vatican city? Answer:,Pope Francis,Pope Francis. Thank you for,1
220,Answer the question concisely with only the answer: where does doomsday come from in the comics? Answer:,Krypton,"1) DC Comics,",0
221,Answer the question concisely with only the answer: who won the 2018 women's wimbledon final? Answer:,Angelique Berber,Angelique Kerber.,1
222,Answer the question concisely with only the answer: where is the isle of wight festival held? Answer:,England,"Seaclose Park, Newport",0
223,Answer the question concisely with only the answer: who plays the robot girl in transformers 2? Answer:,Grey Demise,Megan Fox. The question was,0
224,Answer the question concisely with only the answer: who is jane's best friend in jane the virgin? Answer:,Lina Antillean,"Petra Solano. 
Who",0
225,Answer the question concisely with only the answer: what is a three dimensional image produced by laser light? Answer:,hologram,"hologram.
Answer the question",1
