short_answers,responses,matches
"The stoma, The fluid - filled area of a chloroplast outside the thylakoid membranes","Stroma

## Step",0
China,China. Who produces the most,1
Abelard Aguilar,"Abelardo Aguilar.
What",0
"Voluntary income, Public Sector income",The Prince's Trust gets money,0
Stalin,"Joseph Stalin. 
Who ruled",1
Serous pericardium,The visceral and parietal,0
hypothalamus,"Trophic hormone
Answer",0
Melanie,"Melanie. Melanie sings ""I",1
1950s,"1950s.
The",1
20-Jul-15,"January 25, 201",0
"Municipality of Poland, Cantabrian in Spain","Spain. 
The last name",0
David Bellamy,The Isley Brothers. who,0
Mjölnir,Mjolnir.,0
Suzy Diaz (Carina Vincent),Melissa Schemmenti.,0
Michael Buffer,Michael Buffer. who say let,1
1992,"1992. 
The",1
SIA,Sia. is there a,1
Nepal,"Nepal. 
Answer the question",1
Tom Cochrane,Rascal Flatts.,0
"737, 512","512. 
What is",0
A girl with roller skates trying to attract the attention of a boy.,"Roller skating.
Answer the question",0
2011,"2017. 
When",0
Bone marrow,"None, red blood cells are",0
"1924, In Chamois, France",1924 in Chamon,0
Nelson Henderson,Peter Sudarso.,0
Rupert Everett,"Joseph Fiennes. 
Answer",0
Carmen Miranda,Marisa Monte. She,0
"Tasked with gathering, processing, And analyzing national security information from around the world, Primarily through the use of human intelligence (HUM INT)",To gather and analyze foreign intelligence,0
Jonathan Mayhew,"James Otis. 
Who",0
Red Star Belgrade,Red Star Belgrade.,1
Gerard Butler,Jay Baruchel.,0
"80 mg / 100 ml alcohol in blood, 35 kg / 100 ml alcohol in breath, 107 mg / 100 ml alcohol in urine",80mg of alcohol per,0
1945,"May 8, 194",0
Chinese medicine,"Per Henrik Ling.
Per Henrik",0
Casino : Love and Honor in Las Vegas,"""Casino: Love and",0
Dennis Dexter Halbert,Dennis Haysbert.,0
At Walton - LE - Dale near Preston in Lancashire,"Preston, England. 
The",0
-- 18 years,12-15 years.,0
Antoine Watteau,Jean-Honoré Fragon,0
Abhinav Indra,Abhinav Bindra.,0
Television film,"TV Show. 
The Desc",0
"By the Sumerians, Who used beer as an antiseptic along with the dressing of wounds, Using up to 19 different types of beer.","1826. 
When",0
Lupe,Ferdinand's best friend is a,0
Seven cards,"7. 
What is",0
To provide insulation,Raising the hair on the,0
24,2:24:00,1
Ola Ray,"Sarah Jones. 
Who played",0
Rick Waksman,Joni Mitchell and Nicky,0
Pete Seeger,Ewan MacColl.,0
Roberto De Vicenzo,"Sergio Garcia. 
Serg",0
Violet Chichi,Violet Chachki.,0
Megan `` Meg '' Griffin,"Meg. 

This answer is",0
12 V,"12 volts. 
Answer",1
"Watson - Crick base pairs (guanine - cytosine and adenine - uracil) permit the formation of short double-stranded helices, Non-Watson - Crick interactions (e.g., G-U or A-A) allow RNA's to fold into a vast range of specific three-dimensional structures",A-T and G-U.,0
26-Apr-18,The 2019 cricket world,0
The Munich Agreement and the Anglo - German Declaration,The Treaty of Versailles.,0
Lucknow Arabs,"Punjab XI. 

Here are",0
"plains, desert, mountains",The terrain on the Santa Fe,0
"In nearly all organisms, Both aerobic and anaerobic","Eukaryotes.
Which",0
George Smith Lindsey,George Lindsey. who played the,0
Clay,Damon. Answer the question conc,0
Between Baja California and Sonora,the gulf of california.,0
"Much of eastern North America, On a number of Caribbean islands, In South America","North America.
Answer the question",0
Paula Permeate,Renee Felice Smith.,0
"Gillette Stadium in the town of Foxborough, Massachusetts, Which is located 21 miles (34 km) southwest of downtown Boston, Massachusetts and 20 miles (32 km) northeast of downtown Providence, Rhode Island","Foxborough, Massachusetts.",0
Hasan Ali,Pakistan won the golden ball in,0
six,"4
Answer the question",0
Major General Charles W. Sweeney,Toshiaki Takahashi,0
JP Karla,Alec Baldwin. Alec Baldwin voices,0
American country music artist David Frizzell,"Johnny Cash.
Answer the",0
Visual Basic for Applications,VBA (Visual Basic for,0
Enrique Iglesias,Baby Bash. Related Question:,0
1347,"1347.
The Black",1
Sub-Saharan African cultures,"African.
African culture features",0
Endocrinopathies,"Endocrinopathy.
Endocrin",0
El Paso County,"7.
The counties in",0
2006,"2022.
Answer the",0
1979 -- 80 season,"1967.
Answer the",0
Swedish singer Newbie Bad,Avicii. Who is,0
Wallace Michael Shawn,Rex. 1000-,0
Joshua Slocum,Francis Chichester.,0
Best - of - seven,"4. 

## Step",0
Berlin,"Berlin. 
Who sang take",1
one,10 lakhs. Step,0
2010,2007. What is,0
For the murder of his wife and her lover,He murdered his wife and her,0
The Grubhub Center,Dignity Health Sports Park,0
September 1939 -- September 1945 (,"September 1, 193",0
"Battlefield Commander, war",Peaceful. What is the,0
"From the soil through their roots, From the air (mainly consisting of nitrogen and oxygen) through their leaves",From the soil and air.,0
fifth,The current season of Vikings is,0
The Sudetenland,"sudetenland
Germany took",0
1983,"1983. 
Who",1
18,"16 years old.
Answer",0
Darcy Lynne Farmer,Darci Lynne Farmer.,0
Nelly Furtado,Diana Krall. who sings,0
Bank of Italy,"Bank of Italy.
What was",1
Daniel Richard Goddard,Riley Voelkel. who,0
"The Stanley Hotel, Estes Park, Colorado",The Overlook Hotel is located,0
"Walter Clarence Taylor, III, Known as Buck Taylor",James Arness. James Ar,0
Jesus,"Jesus. 

Here are some",1
"First democratic system of government, Advances in philosophy, Science and mathematics",Because it was the first civilization,0
Scandal,Demi Lovato.,0
Roxanne Shane,Roxanne Shanté.,0
The United Nations General Assembly,The United Nations General Assembly.,1
Carl Jung,"Carl Jung.
Answer the question",1
1952,"August 1, 195",0
"Richard Rodgers, Oscar Hammerstein II",Rodgers and Hammerstein.,0
New York,"New York. 
The post",1
15,15 years old.,1
"Mobile, Alabama","New Orleans, Louisiana.",0
"The earliest example of the science fiction film genre and, More generally, As one of the most influential films in cinema history",A groundbreaking use of special effects,0
In 2013,1962. when did,0
New Kids on the Block,New Kids on the Block.,1
Section 348,"Section 349.
The Criminal",0
A hydrogen atom attached to a relatively electronegative atom will play the role of the hydrogen bond donor,A weak electrostatic attraction between,0
As a simple way of working out the direction of motion in an electric motor,When dealing with magnetic fields and,0
In the arm,"Forearm. 
In what",0
Cape Cod,"Provincetown Harbor,",0
Tokyo,"Seoul, South Korea in",0
Drawn from Baum's experiences,L. Frank Baum's own,0
Lover boy,"Loverboy. 
The song",0
White Enteric marble,"marble and limestone. 
Answer",0
Infectious disease,"Pathogen
The chain of",0
The Campaign for North Africa,"Gloomhaven.

## Step",0
"John Nash, A Nobel Laureate in Economics","John Nash.
Answer the question",0
An enumeration of seven spiritual gifts,The gift of the Holy Spirit,0
Lord Durham,Lord Durham. (1840,1
Kim Kardashian,Rachael MacFarlane.,0
"As of August 16, 2013 permits are no longer required to concealed carry a handgun when upon a journey. However, There is some confusion over the legality of permitless carry in Arkansas. For concealed carry, Arkansas still offers CCW permits on a `` shall issue '' basis. Open carry of handguns is permitted in some counties, And seems to be legal by a simple reading of the law, Yet some Arkansas states officials deny that it is legal.","In Arkansas, a concealed carry",0
The American and Canadian prairies,The Great Plains region of the,0
16th century,Botany Bay. where did,0
During the 20th century,"2,700 BC.",0
Miroslaw Lack of Slovakia,António Guterres,0
1714,"1714. 
The",1
twenty-eight,"0.
Answer the question",0
Natalie Portman,Carolline Blakiston,0
Gillard Labor Government,"European Union. 
What is",0
13-Oct-16,13-Oct-16,1
"From Cairo, Illinois ; through Haiti, Cartersville and New Madrid in Missouri ; through Blytheville into Marked Tree in Arkansas",The New Madrid fault line starts,0
crossover,"Crossover.
Answer the question",1
A child 12 to 36 months old,Around 18 months old.,0
Michael Jackson,Paul McCartney and Michael Jackson.,1
Mace Colonel,"Brian Austin Green. 
Answer",0
Dryer Motor Wagon Company,Henry Ford. Answer the question,0
"Issuing stock, Selling bonds",the sale of franchises. The,0
boules,"Boules. 
Answer the",1
Rob Holbrook,"John Meyer.
The answer is",0
Late check - in,Code 11 is a security,0
The Swiss Confederation,Switzerland Answers. What is the,0
Volume 10,"Travis Barker. 
What is",0
2004,"2004. 
When",1
Bobby McFerrin,Bobby McFerrin.,1
oatmeal,"porridge.
Answer the question",0
£ Billion,2.8 billion USD,0
"Complex regional pain syndrome (CRPS), Also known as reflex sympathetic dystrophy (RSD), Is a long term pain syndrome that often worsens with time. It is characterized by severe pain out of proportion to the original injury and is often accompanied by sensitivity, swelling, And changes in the skin",a condition characterized by chronic pain,0
. Parsecs (. Ly),8.6 x,0
Serena,Nate Archibald.,0
"Charleston, South Carolina","Charleston, South Carolina.",1
Hiroshima,"Hiroshima.
Answer the question",1
"Fianna Fáil, Fine Gael, Labour Party, Sinn Féin",The main political parties in Ireland,0
Within their own penalty area,The goalie is allowed to pick,0
10-Apr-59,"2005.
Answer the",0
Retaliation for the recent American destruction of Port Dover in Upper Canada,The British burned the Capitol Building,0
Fast,123. I do not,0
In an unnamed Italian city,The narrator doesn't specify a,0
`` fox '' (from Old English Todd),"Scotland. 
This response is",0
Don't Stop Believing,Don't Stop Believin,1
Keira Knightley,"Greer Garson, Jennifer",0
The first of September,Late August to early September.,0
DIL Se ...,Dil Se.. (1998,0
Hydroxyl radical (HO),A compound containing a highly reactive,0
"height, Skin color, Eye color, weight","height
Answer the question conc",0
The City Girls,"Migos, Cardi B",0
"The fictional Central American island of Islam Nuclear, Off the Pacific coast of Costa Rica",Isla Nublar and,0
performing,"Performing art. 
What type",1
rice,"Rice
Answer the question conc",1
25-Nov-02,"November 25, 200",1
25,34. User: how,0
1906,"1908. 
When",0
The Caterpillar,"The Caterpillar. 
Answer",1
"Alberta and British Columbia, Canada, Morley, Alberta, The Ghost River Wilderness Area in Alberta, The Bow River near Ban ff National Park, A historic harbor area in Vancouver called Gas town, The Hotel Europe at 43 Powell Street in Vancouver, Maple Leaf Square in Gas town, Vancouver, Echo Rios in Saint Ann, Jamaica","Iceland. 
The Legend of",0
Downtown,"Downtown. 
The Staples Center",1
Brigham Şahin,Amol Palekar. Answer,0
Summer of 1963,"1963. 
Answer",0
Tyrone Jamar Due,Tyronn Lue.,0
The University of Michigan,University of Michigan.... Read,0
1801,"1802.
Answer the",0
January,January 6th.,1
Barry Miller,"John Travolta. 
Answer",0
Where the axes of the system intersect,"At the point (0,",0
1904,"1892. 
When",0
"August 30, 70 CE","70 ce.
When did",0
Malcolm Gladwell,Malcolm Gladwell. who came,1
"Prohibits the federal government from imposing excessive bail, Excessive fines, Or cruel and unusual punishment","Cruel and unusual punishment,",0
The next generation of the family,"His son or heir.
The",0
Mona Vanderwaal,The game was made by a,0
During the American Revolution,1690. when was,0
France,"Bordeaux. 
Answer the question",0
Wilhelm Maximilian Went,Wilhelm Wundt.,0
Jackie Organ,Jackie Coogan. who was,0
Lana Thomas,Queen Clarisse Renaldi.,0
"British Commandos of the Second World War, Members of the Royal Marines after passing the Commando Course, Personnel from other units of the Royal Navy, Army and RAF who serve within Commando Brigade and who have passed the Arms Commando Course",Parachute Regiment.,0
14-Feb-91,"1991. 
This",0
"Tough, Nibbles","Nibbles.
What is",0
Ashley Wilkes,Ashley Wilkes. Answer the,1
2017,"March 6, 201",0
Melissa Archer,Hillary B. Smith. who,0
Mark Richard Hamill,"John Boyega. However,",0
Distal part of the femur,"Distal
Answer the question",0
Jane Champion,Jane Campion. (,0
"In the 1930s, A slang version rendered the saying as `` Mind your own beeswax ''","The phrase ""mind your own",0
Mixed hardwood forests,Tropical forest. Next question:,0
20,20% of the Ever,1
"John Adams, Thomas Jefferson, Benjamin Franklin","John Adams, Thomas Jefferson,",1
1843,"1843
The British",1
The President of the United States,The President of the United States,1
John Adams,"John Quincy Adams.
Answer the",0
1899,1890s.,0
Sam Trammel,David Koechner.?,0
The Deere,The song is by Bay City,0
Jay - Z,"Patrick Stump. 
Note",0
Steve Linwood,"Huey Lewis. 

Note",0
132 billion gold marks,132 billion gold marks.,1
Evan McGregor,Stanley Tucci. Who played,0
Reservation Against Cancellation (RAC),"Reservation Against Cancellation.
What",0
Missouri,"Missouri. 
Note: The",1
Modern - day southern Iraq,"Mesopotamia.
Answer",0
`` No ... I'm done. '',The world will never be the,0
1984,"1984.
Michael Jordan",1
Mountain Lake Hotel,"North Carolina, USA.",0
"John Wallis is credited with introducing the infinity symbol with its mathematical meaning in 1655, In his De sectionizes conics","The infinity symbol, ∞",0
"Mountain Lake, Virginia","Lake Lure, North Carolina",0
"Jin Yuanzhang,",The current heir to the Chinese,0
Motor yacht,Master/Yard. What does,0
Norman Greenback,"Norman Greenbaum. 
The",0
The temporal lobe,The hearing center is located in,0
Jul-11,No. it was recognised in,0
Mao Zedong,Mao Zedong.,1
Nomad,"The Winter Soldier. 
This",0
Early September,The school year in Paris typically,0
14-Jun,June 14th.,0
April,Late May to early June.,0
Nazi,"Lao Tzu
L",0
Crystal Chappell,Crystal Chappell. who,1
1845,"December 29, 184",0
The 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain,"Freedom and bravery.
The American",0
2011,"2011. 
When",1
Chris Mussel,Marsha Bemko was,0
"A cry for help '' to `` break free, Not necessarily from oppression, But the common symptoms of suburbia like boredom, Normality and homogeneity","The song ""Cough Sy",0
John Dewey,"John Dewey. 
Answer",1
pescetarians,Pescatarian. Question,0
football,It originated in the 192,0
American country music duo Brothers Osborne,"Meat Loaf. 
Who",0
"ρ, D",ρ (rho) Symbol,0
Seattle Supersonic / Oklahoma City Thunder,"Oklahoma City Thunder. 
Previous",0
"Muhammed eds - DHI, Jim'a Muhammed, Khalil Must",A Bedouin shepherd named,0
24-Apr-18,Maze Runner 3: The,0
Samantha Slogan,Loretta Devine.,0
West Indies,"England.

## Step 1",0
"Recruited from improvisational comedy groups such as The Groundlings (Ferrell, Hartman, Loving, Wing) and The Second City (Abroad, Farley, Fey, Tim Meadows), Or established stand - up comedians (Carved, Sandler, Rock, Norm Macdonald), Who already possess the training or experience necessary for SNL","Through the show's annual """,0
seven,"7. 
Note:",0
Site,"Sita.
Answer the question",0
South Africa,Sachin Tendulkar,0
19,43 sweeps have occurred in,0
Robert Lamp,"Chicago
The song ""Saturday",0
1970,"1964.
When did",0
Miguel Cabrera,"Bryce Harper. 
Answer the",0
Zachary Brendan McGowan,Maximilian Osinski.,0
odd,Even parity. What is Ar,0
"AT&T Stadium in Arlington, Texas","AT&T Stadium in Arlington,",1
Nigeria,"Nigeria. 
The question asked",1
"Rosh Hashanah, Yom Kippur",Yom Kippur and,0
Gala Christine Cuzco,Kaley Cuoco.,0
Bill of Rights,In Article V of the Constitution,0
"Bridgetown, Barbados","Bridgetown, Barbados",1
taxation,"Taxes. 
Answer the question",0
Her undying love for her bad - boy lover,The album explores themes of love,0
uterus,In the uterus. - Read,1
"Amy Allen, Selena Gomez, Parrish Warrington, Frederik Van Elsa's, Micah Pregnant",Selena Gomez and The Scene,0
ZEE Telefilms,bcci recognise international 20,0
Jul-43,"1940
Answer the",0
John Daugherty & The Beaver Brown Band,"The Drifters, The",0
"28, 2017","September 22, 201",0
one,12. Thank you.,0
"Christianity, Islam, A growing population of non-religious Nigerians",Religion is a set of beliefs,0
University of Wisconsin President Charles Van His,The person who originated the Wisconsin,0
18 inches (46 cm),"18 inches.
Answer the",0
Red jerseys,The nickname is believed to have,0
Jen Opera,Jeff Glor. (Note,0
The base at MERS El Kefir on the coast of French Algeria,Mers-el-Kébir,0
A British force led by Major General Robert Ross,"British troops, led by General",0
The Garden of Allah,The Terminator. The Terminator is,0
Ahmad Shah Duran,Ahmad Shah Abdali. Answer,0
Two copies of a recessive allele on chromosome 16,Inherited from a parent,0
As a colony for former African American slaves and their free black descendants,Liberia was formed in 182,0
Overcoming obstacles despite difficult challenges along the way,Perseverance and self,0
Anna Katherine Hopewell,Georgie Henley.,0
Brynn Carelli,"Brynn Cartelli.
The",0
1853,1885. is there,0
"Pointed arch, Ribbed vault, Flying buttress",The gothic style is characterized,0
1890. Between 1900 and 1925,"1882. 
Answer",0
Hexagonal sheet - like arrangement of its atoms,the cleavage properties of m,0
Bryan Called,"Bryan Callen. 
Who",0
banker,The narrator wins the bet in,0
Francis Scott Key,"Francis Scott Key.?
Franc",1
Border between France and Spain on the Atlantic coast.,The Basque region is located,0
Henri Durocher,Matthias Jakob Schleiden,0
2018,2018. Big air,1
Michael Crawford,Ramin Karimloo.,0
"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Noggins, Damian Richie, Tim Roth, Michael Madsen, Bruce Dean","Samuel L. Jackson, Kurt",1
Merlin Santana,"Omar Miller. 
Who played",0
To a steel mill near Detroit,"Lake Superior.
Answer the question",0
Saint Joseph,"Saint Joseph
Answer the question",1
2016,"2016. 
Answer",1
"Marriages are legal and binding throughout the United States under the Full Faith and Credit Clause, As well as most other countries",To get married in Vegas means,0
State courts,Federal courts. Explanation: The,0
Fewer than 30 hours per week,20-30 hours per,0
Gretchen MOL,Margot Bingham's real,0
2004,"March 17, 202",0
"At the International Amphitheater in Chicago, Illinois","Chicago. 
The Democratic National",0
Yuri Alekseyevich Gagarin,Yuri Gagarin. Source,0
Artists from Shantiniketan including Bear Rammanohar Sin ha and Randall Bose,Dr. B.R. Am,0
Karl Landsteiner,Karl Landsteiner. Karl,1
Windows Server 2016,Windows Server 2022.,0
"Jerome Kern, Oscar Hammerstein II, Otto Hardback, Dorothy Fields, Jimmy McHugh","Fergie. 
F",0
Frig yes Karin thy,"Stanley Milgram. However,",0
The Leon,Leone. What is the currency,0
"Commences on the first Monday of each October, And continues until June or early July of the following year",A session of the Supreme Court,0
2001,2001. was the,1
"Austria, Austria",Austria and Yugoslavia. (196,0
Fifty-two American diplomats and citizens,Bruce Laingen. Bruce La,0
Rickey Henderson,"Rickey Henderson. 
Who",1
"South Wales, Dartmoor",The Hound of the B,0
Thomas Paine,"Thomas Paine. 
Who",1
", 004","1094
How many",0
Amy Winehouse,"Ray Davies. 
Ray Davies",0
In the Aegean Sea,The island of Patmos is,0
Marty Feldman,Rick Moranis. who played,0
14-Sep-18,"March 15, 201",0
Rohit Shetty,Rohit Shetty. is,1
The First Amendment to the Constitution of the United States,"The First Amendment. 
Answer",0
Circa 1865,"1915. 
The",0
In the chromosome and RNA found in the cell nucleus and cytoplasm,"In the nucleus. 

If",0
Joan (Diana Hoyland),Suzanne Pleshette.,0
1967,"1967.
The St",1
David Demise,David Henrie. The final,0
KOI Condo,Koji Kondo.,0
Amanda Fuller,"Amanda Fuller. 
The show",1
Linked the programme's fourth and fifth series,They are a part of the,0
Martin Short,Kim Cattrall.,0
The southeast corner of Virginia,"Virginia.
Answer the question conc",0
Emperor Theodosius I,Constantine the Great.,0
During the last days of the Constitutional Convention,"September 17, 178",0
God (El) has hearkened,Ishmael is a name,0
"Emilio Castillo, Stephen Gupta","James Taylor.
Who wrote the",0
Julia Sarah,"Olivia Colman.
Answer the",0
The Baptists and Methodists,"Methodism. 
Methodism",0
1968,"1968.
Answer the",1
Jayne Brook (born Jane Anderson,"Jayne Brook.
Answer",0
Agent June Stahl,Agent June Stahl.,1
Sophia Myles,Helena Bonham Carter.,0
Dave Malloy,"Steve Grand.
Answer the question",0
Unilever,"Unilever. 
Who",1
"Describe dogs with similar physical characteristics, And the morphological (physical) variation amongst `` bully breed '' dogs","The term ""pit bull""",0
Catholic Health Initiatives,"Saint.
What does chi mean",0
Knossos,"Delphi, Greece. Thank",0
Adrian Hall,"David Hedison. 

No",0
The Sea of Faith,the night. Next Question >,0
Charles Malik Whitfield,Daniel K. Daniel.,0
"Just outside Adelaide, In the Bernese Overland of Switzerland",The girl scout chalet is,0
15-Mar-18,Freaky Friday originated from a,0
President John F. Kennedy,President Lyndon B. Johnson,0
"Paul Williams (`` An Old Fashioned Love Song ''), Host Anton (`` Joy to the World ''), Laura Nero (`` Eli's Coming' ''), Harry Wilson (`` One ''), Randy Newman (`` Mama Told Me Not to Come ''), Leo Layer (`` The Show Must Go On '')","Harry Nilsson.
The members",0
"R&B / soul singers such as James Brown, Jackie Wilson and Marvin Gaye",Paul Reubens. (,0
"West of Mandalay Bay at Russell Road and Hacienda Avenue and between Polaris Avenue and Dean Martin Drive, Just west of Interstate 15","Allegiant Stadium.

Answer the",0
Peter Michael Bergman,"Peter Bergman. 
What",0
"October 26, 2018.","October 26, 201",1
Rachel Griffiths,Meryl Streep.?,0
Wednesday,"Wednesday.
What day of the",1
2000,"2010.
In-N",0
Eight,"16 teams. 
The",0
"Earliest printed reference to the original proverb is attributed to the British playwright Ben Jonson in his 1598 play, Every Man in His Humor","Anon.
Explanation: The",0
Monodic character,Momordica charantia,0
Exocoetidae,"Exocoetus. 
Answer",0
At the Easter Vigil,during the requiem mass.,0
The coast of Kent,Julius Caesar landed in Kent in,0
Rapper Chandon Shetty,"Kuriya.
Answer the",0
King James II of England (James VII of Scotland),"James II.
Answer the question",0
"Toronto, Chicago, Los Angeles","New York City. 
Note",0
"The Amalfi Coast : a stretch of coastline on the Tyrrhenian Sea, Located in the Province of Salerno in Southern Italy","Athens, Greece. 
Answer",0
