,questions,short_answers,responses,logits_of_answers
37,Answer the question concisely with only the answer: when does the mlb regular season start in 2018? Answer:,"March 29, 2018","March 29, 201",1.0
38,Answer the question concisely with only the answer: when was the last time it snowed in miami? Answer:,January 1977,It has never snowed in,0.9040757417678833
39,Answer the question concisely with only the answer: what is ronnie real name from players club? Answer:,Chrystal Wilson,Ron O'Neal.,0.8269034624099731
40,Answer the question concisely with only the answer: when did new york became the largest city? Answer:,1835,"1898.
When did",0.6586865186691284
41,Answer the question concisely with only the answer: who does jane eyre fall in love with? Answer:,Edward Rochester,mr. rochester. Is,0.675132155418396
42,Answer the question concisely with only the answer: when does season 3 of serial come out? Answer:,Sometime in 2018,There is no official release date,0.8982682228088379
43,Answer the question concisely with only the answer: when is the last time mt hood erupted? Answer:,August 1907,"1986.
Answer the",0.710448682308197
44,Answer the question concisely with only the answer: where was dr. jekyll when he first transformed into mr. hyde without drinking the potion? Answer:,At a park,In his laboratory.,0.5358472466468811
45,Answer the question concisely with only the answer: who dies in for whom the bell tolls? Answer:,Anselmo,"Pablo. 
In this novel",0.20733365416526794
46,Answer the question concisely with only the answer: who voices mikey in look who's talking? Answer:,Bruce Willis,"Bruce Willis. 
Answer the",0.9322568774223328
47,Answer the question concisely with only the answer: how often is african cup of nations played? Answer:,Held in odd - numbered years,Every 2 years.,0.9047642946243286
48,Answer the question concisely with only the answer: what is the primary literary work of judaism? Answer:,Talmud,"The Hebrew Bible.
Answer the",0.6940246820449829
49,Answer the question concisely with only the answer: what killed the potatoes in the irish potato famine? Answer:,Potato blight,Phytophthora infest,0.9032799005508423
50,Answer the question concisely with only the answer: where do they go when one has been released in the giver? Answer:,Those said to have been `` released '' have been killed.,The Hall of Final Speech.,0.5218385457992554
51,Answer the question concisely with only the answer: how many rooms are there in the winchester house? Answer:,Roughly 161 rooms,"160.
How Many Rooms",0.6592391133308411
52,Answer the question concisely with only the answer: when did mr peabody and sherman come out? Answer:,"February, 2014 in the United Kingdom, March, 2014 in the United States","2004. 
Answer",0.6750878095626831
53,Answer the question concisely with only the answer: name the largest national park in east africa? Answer:,Ru aha National Park,Serengeti National Park,1.0
54,Answer the question concisely with only the answer: who finally determined the winner of the 2000 presidential election? Answer:,The United States Supreme Court,"The Supreme Court. 
What",0.5289597511291504
55,Answer the question concisely with only the answer: who sings a little dust on the bottle? Answer:,David Lee Murphy,"Luke Combs
Who sings",0.5400237441062927
56,Answer the question concisely with only the answer: who warned concord that the british were coming? Answer:,Samuel Prescott,Paul Revere and William Daw,0.9080175161361694
57,Answer the question concisely with only the answer: when did the 4th of july become a federal holiday? Answer:,1938,1870. when did,0.7298383712768555
58,Answer the question concisely with only the answer: where is carbon dioxide produced in the cell? Answer:,Cristae of the mitochondria,In the mitochondria.,0.7343317270278931
59,Answer the question concisely with only the answer: what do you call the trim around the floor? Answer:,"Baseboard (also called skirting board, skirting, mopboard, Floor molding, Or base molding)","Baseboard. 
Answer the",0.6644331216812134
60,Answer the question concisely with only the answer: what do you call a person who only eats fish? Answer:,pescetarian,A pescetarian.,0.874503493309021
61,Answer the question concisely with only the answer: who does the voice of brock in pokemon? Answer:,Eric Stuart,"Matthew Mercer. 
If you",0.6942695379257202
62,Answer the question concisely with only the answer: the main product of photosynthesis used by plants is? Answer:,Carbohydrate molecules,"Glucose
Answer the question",0.7820703387260437
63,Answer the question concisely with only the answer: when was the last time usa beat mexico in soccer? Answer:,2007,"2021. 
Note",0.7877928614616394
64,Answer the question concisely with only the answer: where is dancing with the stars on rté filmed? Answer:,In Ardmore Studios located in County Wick low,The RDS Arena in Balls,0.5201852321624756
65,Answer the question concisely with only the answer: where will the 2028 summer olympics be held? Answer:,"Los Angeles, California","Los Angeles, California.",0.8026833534240723
66,Answer the question concisely with only the answer: during the us great depression the unemployment rate peaked at? Answer:,25 %,24.9% in,0.7815441489219666
67,Answer the question concisely with only the answer: who calls the cues for a show over the headset? Answer:,Stage manager,"The stage manager. 
Answer",0.80109703540802
68,Answer the question concisely with only the answer: how many episodes of the last season of new girl? Answer:,eight,8. How many episodes,0.8148914575576782
69,Answer the question concisely with only the answer: in the first chapter of john the logos refers to? Answer:,Jesus,"Jesus Christ.
Answer the question",0.6133617758750916
70,Answer the question concisely with only the answer: who was red john in the tv series the mentalist? Answer:,Thomas McAllister,The Red John was a serial,0.7452630996704102
71,Answer the question concisely with only the answer: who played lena in singing in the rain? Answer:,Jean Hagen,"Debbie Reynolds. 
Answer the",0.8978938460350037
72,Answer the question concisely with only the answer: who got rajiv gandhi khel ratna award 2017? Answer:,"Para Athlete Javelin thrower Defend Jhajharia, Hockey player Barbara Singh","Sakshi Malik. 
Answer",0.6458885669708252
73,Answer the question concisely with only the answer: how many episodes are there in season 2 of the crown? Answer:,10 one - hour episodes,"10. 
How many",0.7488325834274292
74,Answer the question concisely with only the answer: how much sugar does angel food cake have? Answer:,Sugar is less than or equal to the amount of egg whites,2 grams. How much,0.4880802035331726
75,Answer the question concisely with only the answer: when did the last tram run in hull? Answer:,30 June 1945,"1996. 
The",0.7210028171539307
76,Answer the question concisely with only the answer: who played in the super bowl this year? Answer:,"New England Patriots, Atlanta Falcons",The Kansas City Chiefs played in,0.7792631387710571
77,Answer the question concisely with only the answer: how much money does the walmart family have? Answer:,$ US174. a billion,"$250 billion. 
The",0.6830451488494873
78,Answer the question concisely with only the answer: who does the voice over for x factor? Answer:,Peter Dickson,"Ben Winston. 
The X",0.5322715044021606
79,Answer the question concisely with only the answer: when did the occupation of the ruhr end? Answer:,1925,1925. Explanation:,0.7102620005607605
80,Answer the question concisely with only the answer: when did iphone 7 come out in us? Answer:,"September 16, 2016","September 16, 201",1.0
81,Answer the question concisely with only the answer: does va stand for veterans administration or veterans affairs? Answer:,Veterans Affairs,"Veterans Administration. However, it",0.6530482172966003
82,Answer the question concisely with only the answer: actress who plays snow white on once upon a time? Answer:,Jennifer Michelle `` Jennifer '' Goodwin,Ginnifer Goodwin.,0.9685462713241577
83,Answer the question concisely with only the answer: the dot product of two vectors results in a? Answer:,A vector,a scalar. Answer the question,0.7233351469039917
84,Answer the question concisely with only the answer: who dies at the end of season 4 prison break? Answer:,Michael,"Benjamin Miles ""C-Note",0.8155263662338257
85,Answer the question concisely with only the answer: when did the first palm pilot come out? Answer:,1996,"1996. 
Answer",0.8034090995788574
86,Answer the question concisely with only the answer: what language do they speak in the galapagos islands? Answer:,Spanish,"Spanish. 
Answer the question",0.7070004343986511
87,Answer the question concisely with only the answer: when is sicario 2 coming out in canada? Answer:,"June 29, 2018","April 27, 201",0.6469266414642334
88,Answer the question concisely with only the answer: who sings youve got a friend in me from toy story? Answer:,Randy Newman,Randy Newman. Who wrote you,0.5442154407501221
89,Answer the question concisely with only the answer: who sang background vocals on you're so vain? Answer:,Mick Jagger,"Carly Simon. 
Who sang",0.8036564588546753
90,Answer the question concisely with only the answer: when is a bachelor party supposed to be? Answer:,Shortly before he enters marriage,"after the wedding. 
Answer",0.6750625967979431
91,Answer the question concisely with only the answer: when is andromeda going to collide with the milky way? Answer:,About .75 billion years,Approximately 4.5 billion,0.8507434725761414
92,Answer the question concisely with only the answer: who has the most blocks in one nba game? Answer:,Mark Eaton,Kareem Abdul-Jabbar,0.9125778079032898
93,Answer the question concisely with only the answer: how many times has wales won the 6 nations? Answer:,26 outright wins with the addition of 12 shared victories,"28
The 6",0.5973623991012573
94,Answer the question concisely with only the answer: where do the profits of the crown estate go? Answer:,"Her Majesty's Treasury, For the benefit of the British nation",The profits of the Crown Estate,0.8895465731620789
95,Answer the question concisely with only the answer: what is the meaning of business to business? Answer:,A situation where one business makes a commercial transaction with another,Business to business refers to commercial,0.6426001787185669
96,Answer the question concisely with only the answer: where do they put dead bodies in the hospital? Answer:,A morgue or mortuary,The morgue. What,0.7426514625549316
97,Answer the question concisely with only the answer: what popular food is thought to have originated in naples italy? Answer:,pizza,Pizza. What popular food is,0.7419813871383667
98,Answer the question concisely with only the answer: who did chris sullivan play in guardians of the galaxy 2? Answer:,Taser face,Mantis. Who did ch,0.5948604345321655
99,Answer the question concisely with only the answer: when is whose line is it anyway on 2017? Answer:,"May 29, 2017","July 12, 201",0.7125946283340454
100,Answer the question concisely with only the answer: the function of an x ray beam filter in diagnostic radiology is to? Answer:,"Selectively attenuate, Or block out, Low - energy rays",reduce the effective energy of the,0.6979731917381287
101,Answer the question concisely with only the answer: when is the teachers day celebrated in india? Answer:,September,"September 5th.
The",0.5841792225837708
102,Answer the question concisely with only the answer: record for three pointers in a game ncaa? Answer:,Keith Vega,Stephen Curry (12).?,0.5906623601913452
103,Answer the question concisely with only the answer: who plays dr altman on grey's anatomy? Answer:,Kimberly Jayne `` Kim '' Raver,Kelly McCreary.,0.8068003058433533
104,Answer the question concisely with only the answer: who is the girl in somebody i used to know? Answer:,Kim bra,"Taylor Swift. 
Taylor Swift",0.7027965784072876
105,Answer the question concisely with only the answer: on which river is the annual boatrace between oxford and cambridge universities rowed? Answer:,The River Thames,the thames. (a,0.4681349992752075
106,Answer the question concisely with only the answer: when is ask me how i know coming out? Answer:,"March 17, 2017",when you are asked.,0.5426580905914307
107,Answer the question concisely with only the answer: when is the premiere of game of thrones season 7? Answer:,"July 16, 2017","July 16, 201",0.9873570203781128
108,Answer the question concisely with only the answer: what is the meaning of abhi in hindi? Answer:,`` just now '' or `` now itself '' (ab meaning now),"Now, immediately, just,",0.43111199140548706
109,Answer the question concisely with only the answer: where is the general purpose of the constitution stated? Answer:,The Preamble to the United States Constitution,In the preamble. 1,0.5884290337562561
110,Answer the question concisely with only the answer: western movie with dean martin and frank sinatra? Answer:,For Texas,"Rio Bravo.
Answer the question",0.8902508616447449
111,Answer the question concisely with only the answer: when was the first college founded in america? Answer:,1618,1636. The first,0.8230913877487183
112,Answer the question concisely with only the answer: who killed jax dad in sons of anarchy? Answer:,Gemma and Clay,Clay Morrow. Who killed j,0.6212544441223145
113,Answer the question concisely with only the answer: when did the new audi a4 come out? Answer:,June 2015,The 2022 Audi A,0.7348035573959351
114,Answer the question concisely with only the answer: in which 3 hemispheres is south america located? Answer:,"Western hemisphere, Southern Hemisphere, Northern Hemisphere","The Southern, The Eastern,",0.4647681713104248
115,Answer the question concisely with only the answer: where does lost in the barrens take place? Answer:,Manitoba and southwestern North West Territories,"The Sudan.?
Lost in",0.48771268129348755
116,Answer the question concisely with only the answer: who did ohio fight for in the civil war? Answer:,The Union,The Union. who did ge,0.7115666270256042
117,Answer the question concisely with only the answer: where does the last name stephenson originate from? Answer:,A medieval patronymic surname meaning `` son of Stephen '',"England. 
What is the",0.749841570854187
118,Answer the question concisely with only the answer: who wrote the song can't live without you? Answer:,Pete Ham and Tom Evans,"Haddaway. 
who",0.6958884000778198
119,Answer the question concisely with only the answer: who is the author of the science book experiments and observations on electricity published in 1751? Answer:,Benjamin Franklin,"Benjamin Franklin.
Benjamin Franklin",0.7984714508056641
120,Answer the question concisely with only the answer: what is the purpose of the mental foramen? Answer:,Transmits the terminal branches of the inferior alveolar nerve and vessels (the mental artery),To provide a pathway for the,0.6407279372215271
121,Answer the question concisely with only the answer: which artist is representative of the detroit blues style? Answer:,John Lee Hooker,"John Lee Hooker.
Answer",0.8222531676292419
122,Answer the question concisely with only the answer: when did the first season of the walking dead start? Answer:,"October 31, 2010","October 7, 201",0.8467068672180176
123,Answer the question concisely with only the answer: who plays murtaugh's wife on lethal weapon? Answer:,"Keesha Sharp, Darlene Love","Darlene Love
Answer the",0.7011992335319519
124,Answer the question concisely with only the answer: who sings moon river breakfast at tiffany's? Answer:,Audrey Hepburn,"Audrey Hepburn.?
What",0.6553181409835815
125,Answer the question concisely with only the answer: when did the first mad max come out? Answer:,1979,"1979. 
The",0.881966233253479
126,Answer the question concisely with only the answer: where does a farewell to arms take place? Answer:,Italy,"Italy and Switzerland. 
F",0.6635536551475525
127,Answer the question concisely with only the answer: who won the last football world cup 2014? Answer:,Germany,"Germany.
Who won the last",0.7727564573287964
128,Answer the question concisely with only the answer: who makes up the state council in russia? Answer:,Governors and presidents,The State Council in Russia is,0.8709392547607422
129,Answer the question concisely with only the answer: when was the last time the chicago white sox won a world series? Answer:,2005,"2005.
Answer the",0.8627687692642212
130,Answer the question concisely with only the answer: what is the meaning of gloria in excelsis deo? Answer:,Latin for `` Glory to God in the highest '',"It means ""Glory to",0.6720613837242126
131,Answer the question concisely with only the answer: when did the us supreme court have 9 justices? Answer:,1869,"1869.
When did",0.7551487684249878
132,Answer the question concisely with only the answer: what became the standard german term for the art song? Answer:,Lieder,Lied. (1967,0.5512391924858093
133,Answer the question concisely with only the answer: what is another name for the caribbean islands? Answer:,Caribbean,"The West Indies.
What are",0.696956992149353
134,Answer the question concisely with only the answer: what is the nissan patrol called in usa? Answer:,Nissan Armada,"Nissan Armada.
Answer the",0.8360354900360107
135,Answer the question concisely with only the answer: how many instruments in a full symphony orchestra? Answer:,"From seventy to over one hundred musicians, Depending on the work being played and the size of the venue","100. 
How many",0.6114157438278198
136,Answer the question concisely with only the answer: when can a governor declared a state of emergency? Answer:,"disaster, Civil unrest, Armed conflict",In case of natural calamities,0.5264222025871277
137,Answer the question concisely with only the answer: when was national development council established in india? Answer:,August 1952,1952. when was,0.8816368579864502
138,Answer the question concisely with only the answer: where did they film man from snowy river? Answer:,Victorian High Country,"Australia. 
Man from Snow",0.7274206876754761
139,Answer the question concisely with only the answer: what is name of fuel used in aeroplane? Answer:,"Jet fuel, Aviation fuel",Aviation Turbine Fuel (AT,0.8048288226127625
140,Answer the question concisely with only the answer: who decided what would be in the bible? Answer:,The Christian biblical canons,The Council of Nicaea,0.8819987773895264
141,Answer the question concisely with only the answer: where is the cadbury creme egg factory located in england? Answer:,Birmingham,"Bournville, Birmingham.",0.8898018598556519
142,Answer the question concisely with only the answer: who sings it's a rainy night in georgia? Answer:,Brook Benton,"Brook Benton. 
The song",0.8594388365745544
143,Answer the question concisely with only the answer: who plays filch in the harry potter movies? Answer:,David John Bradley,"Tom Felton's friend,",0.6488974094390869
144,Answer the question concisely with only the answer: the light-independent reactions of photosynthesis take place in? Answer:,"The stoma, The fluid - filled area of a chloroplast outside the thylakoid membranes",the stroma of the chlor,0.8146837949752808
145,Answer the question concisely with only the answer: who produces the most wheat in the world? Answer:,China,China. China produces the most,0.7351462244987488
146,Answer the question concisely with only the answer: who was the filipino doctor who discovered the antibiotic erythromycin? Answer:,Abelard Aguilar,"Abelardo Aguilar.
Answer",0.9263720512390137
147,Answer the question concisely with only the answer: where does the prince's trust get money from? Answer:,"Voluntary income, Public Sector income",The Prince's Trust gets money,0.864921510219574
148,Answer the question concisely with only the answer: who ruled the soviet union with sole power in a regime of terror? Answer:,Stalin,Joseph Stalin. (2023,0.6582921147346497
149,Answer the question concisely with only the answer: where are the visceral and parietal pericardium located? Answer:,Serous pericardium,The visceral pericardium,0.9418925046920776
150,Answer the question concisely with only the answer: a hormone produced by the pituitary and regulates the function of another endocrine gland is called? Answer:,hypothalamus,tropic hormone. Step,0.6259628534317017
151,Answer the question concisely with only the answer: who sings i got a brand new key? Answer:,Melanie,"Melanie. 
Who sings I",0.8058347105979919
152,Answer the question concisely with only the answer: when did the golden age of tv start? Answer:,1950s,"1950s.
The",0.7986698150634766
153,Answer the question concisely with only the answer: when did the us reopen its diplomatic mission in cuba? Answer:,"July 20, 2015","July 20, 201",0.842232882976532
154,Answer the question concisely with only the answer: where does the last name polanco originate from? Answer:,"Municipality of Poland, Cantabrian in Spain","Spain and Latin America.
Answer",0.5163018703460693
155,Answer the question concisely with only the answer: who wrote if i said you had a beautiful body lyrics? Answer:,David Bellamy,"Joe Brooks. 
Joe Brooks",0.5764569640159607
156,Answer the question concisely with only the answer: what is the name of thor's hammer in the movie? Answer:,Mjölnir,Mjolnir,0.876804769039154
157,Answer the question concisely with only the answer: who is the mom on stuck in the middle? Answer:,Suzy Diaz (Carina Vincent),Melissa Schemmenti.,0.8593276739120483
158,Answer the question concisely with only the answer: who say let's get ready to rumble? Answer:,Michael Buffer,Michael Buffer. who is the,0.7232781648635864
159,Answer the question concisely with only the answer: when were the winter and summer olympics separated? Answer:,1992,"1992. 
In",0.7638137340545654
160,Answer the question concisely with only the answer: who sings im gonna swing from the chandelier? Answer:,SIA,"Sia. 
The song",0.670430064201355
161,Answer the question concisely with only the answer: in which country is vikram sambat the official calendar? Answer:,Nepal,"Nepal. 

Note: Vik",0.6278149485588074
162,Answer the question concisely with only the answer: who wrote the song life is a highway? Answer:,Tom Cochrane,Tom Cochrane.,0.9153262972831726
163,Answer the question concisely with only the answer: what is the area code for austin texas? Answer:,"737, 512","512.
The area code",0.7975493669509888
164,Answer the question concisely with only the answer: what is the song i got a brand new pair of roller skates about? Answer:,A girl with roller skates trying to attract the attention of a boy.,The joys of childhood and the,0.606890857219696
165,Answer the question concisely with only the answer: when was the last time the seahawks didn't make the playoffs? Answer:,2011,"2010. 
What",0.6596490144729614
166,Answer the question concisely with only the answer: what bones produce red blood cells in adults? Answer:,Bone marrow,The bones of the pelvis,0.7856945991516113
167,Answer the question concisely with only the answer: when did the winter olympic games begin and where? Answer:,"1924, In Chamois, France",1924 in Chamon,0.8825127482414246
168,Answer the question concisely with only the answer: who plays mick in power rangers ninja steel? Answer:,Nelson Henderson,Peter Sudarso.,0.9836951494216919
169,Answer the question concisely with only the answer: who played kit marlowe in shakespeare in love? Answer:,Rupert Everett,"Joseph Fiennes. 
Answer",0.8587921857833862
170,Answer the question concisely with only the answer: thirties brazilian actress known for her fruit-laden headgear? Answer:,Carmen Miranda,"Carmen Miranda. 
Answer the",0.8086066246032715
171,Answer the question concisely with only the answer: what is the central intelligence agency's job? Answer:,"Tasked with gathering, processing, And analyzing national security information from around the world, Primarily through the use of human intelligence (HUM INT)",The Central Intelligence Agency's (,0.7667208909988403
172,Answer the question concisely with only the answer: who said the phrase no taxation without representation? Answer:,Jonathan Mayhew,"James Otis. 
The",0.7961130142211914
173,Answer the question concisely with only the answer: who did manchester united play before the munich air disaster? Answer:,Red Star Belgrade,Red Star Belgrade.,0.9611457586288452
174,Answer the question concisely with only the answer: who voices stoic in how to train your dragon? Answer:,Gerard Butler,"Gerard Butler. 
Answer the",0.7938947677612305
175,Answer the question concisely with only the answer: what is the alcohol limit for driving in england? Answer:,"80 mg / 100 ml alcohol in blood, 35 kg / 100 ml alcohol in breath, 107 mg / 100 ml alcohol in urine",80mg of alcohol per,0.8822953104972839
176,Answer the question concisely with only the answer: when did world war ii in europe end? Answer:,1945,"May 8, 194",1.0
177,Answer the question concisely with only the answer: who is credited with introducing massage into the medical profession? Answer:,Chinese medicine,Per Henrik Ling. (201,0.6336424946784973
178,Answer the question concisely with only the answer: what book was the movie casino based on? Answer:,Casino : Love and Honor in Las Vegas,Casino by Nicholas Pileg,0.7469997406005859
179,Answer the question concisely with only the answer: who is the actor that does the allstate commercials? Answer:,Dennis Dexter Halbert,Dennis Haysbert.,0.9121760725975037
180,Answer the question concisely with only the answer: where did the battle of preston take place? Answer:,At Walton - LE - Dale near Preston in Lancashire,"Preston, England. 
The",0.8498862981796265
181,Answer the question concisely with only the answer: how long does a pygmy goat live for? Answer:,-- 18 years,12-15 years.,0.9495140314102173
182,Answer the question concisely with only the answer: the fête galante is most associated with which artist? Answer:,Antoine Watteau,"Watteau.
The f",0.5731167197227478
183,Answer the question concisely with only the answer: 1st indian to win individual olympic gold medal? Answer:,Abhinav Indra,Abhinav Bindra.,0.9392873644828796
184,Answer the question concisely with only the answer: is the descendants a movie or tv show? Answer:,Television film,TV Show. is the descendants,0.7048932313919067
185,Answer the question concisely with only the answer: when was alcohol first used as a disinfectant? Answer:,"By the Sumerians, Who used beer as an antiseptic along with the dressing of wounds, Using up to 19 different types of beer.","400 BCE.
When was",0.4650025963783264
186,Answer the question concisely with only the answer: what's the name of the goat in ferdinand? Answer:,Lupe,"Nacho.
Answer the question",0.725691020488739
187,Answer the question concisely with only the answer: how many cards do you get when you play uno? Answer:,Seven cards,7. How many cards,0.83360356092453
188,Answer the question concisely with only the answer: what is one major function of arrector pili muscle contraction? Answer:,To provide insulation,To stand hair on end.,0.5466355681419373
189,Answer the question concisely with only the answer: what is the fastest time at the belmont stakes? Answer:, 24,1:59.40,0.9126728773117065
190,Answer the question concisely with only the answer: who played the girl in the thriller video? Answer:,Ola Ray,"Amy Diamond.?
What is",0.36320221424102783
191,Answer the question concisely with only the answer: who played piano on cat stevens morning has broken? Answer:,Rick Waksman,"John Paul Jones.
Answer the",0.7180876731872559
192,Answer the question concisely with only the answer: who wrote where has all the flowers gone? Answer:,Pete Seeger,"Peter, Paul and Mary.",0.7468295097351074
193,Answer the question concisely with only the answer: who signed the wrong scorecard at the masters? Answer:,Roberto De Vicenzo,Scotty Scheffler.,0.7095579504966736
194,Answer the question concisely with only the answer: who wins ru pauls drag race season 7? Answer:,Violet Chichi,Violet Chachki.?,0.8261269927024841
195,Answer the question concisely with only the answer: who is the oldest child on family guy? Answer:,Megan `` Meg '' Griffin,"Meg. 
Meg is the",0.7656638026237488
196,Answer the question concisely with only the answer: what voltage comes out of a car cigarette lighter? Answer:,12 V,12V. Answer the,0.7552899122238159
197,Answer the question concisely with only the answer: what are the base pair rules for rna? Answer:,"Watson - Crick base pairs (guanine - cytosine and adenine - uracil) permit the formation of short double-stranded helices, Non-Watson - Crick interactions (e.g., G-U or A-A) allow RNA's to fold into a vast range of specific three-dimensional structures",A-T and G-U.,0.7643394470214844
198,Answer the question concisely with only the answer: when will the 2019 cricket world cup fixtures be announced? Answer:,26 April 2018,The fixtures for the 201,0.7607372999191284
199,Answer the question concisely with only the answer: what treaty did europe believe achieved peace for our time? Answer:,The Munich Agreement and the Anglo - German Declaration,The Treaty of Versailles.,0.888972282409668
200,Answer the question concisely with only the answer: who won the mtv box cricket league 2018? Answer:,Lucknow Arabs,Delhi Bulls won the MTV Box,0.7747558951377869
201,Answer the question concisely with only the answer: what was the terrain like on the santa fe trail? Answer:,"plains, desert, mountains","Rocky and mountainous.
The",0.35844844579696655
202,Answer the question concisely with only the answer: which organisms can use glycolysis to produce atp? Answer:,"In nearly all organisms, Both aerobic and anaerobic",Prokaryotes and e,0.7391620874404907
203,Answer the question concisely with only the answer: who played goober pyle on the andy griffith show? Answer:,George Smith Lindsey,"George Lindsey.
Who played G",0.8219157457351685
204,Answer the question concisely with only the answer: who does elena end up with in bitten? Answer:,Clay,"Damon. 
Note: The",0.7266768217086792
205,Answer the question concisely with only the answer: where does the colorado river empty into the gulf? Answer:,Between Baja California and Sonora,The Gulf of California.?,0.6161919832229614
206,Answer the question concisely with only the answer: where did the french colonize the new world? Answer:,"Much of eastern North America, On a number of Caribbean islands, In South America","North America, specifically present-day",0.6916794776916504
