,questions,short_answers,responses
28,Answer the question concisely with only the answer: how many goals did ronaldo score in ucl? Answer:,120,140. Step 1
29,Answer the question concisely with only the answer: what weight is conor mcgregor and mayweather fighting at? Answer:,Light - middleweight,"154 pounds.
Answer the"
30,Answer the question concisely with only the answer: who won great british bake off series 4? Answer:,Frances Quinn,"Frances Quinn. 
Who won"
31,Answer the question concisely with only the answer: when does blumhouse truth or dare come out? Answer:,"April 13, 2018","January 31, 202"
32,Answer the question concisely with only the answer: where do st louis cardinals have spring training? Answer:,Roger Dean Stadium,"Jupiter, Florida. 
What"
33,Answer the question concisely with only the answer: which king made the great wall of china? Answer:,Qin Shi Huang,"Qin Shi Huang.
Answer the"
34,Answer the question concisely with only the answer: who did the soundtrack for beverly hills cop? Answer:,MCA Records,Harold Faltermeyer.
35,Answer the question concisely with only the answer: when did the song genie in a bottle come out? Answer:,"June 22, 1999","1995. 
The"
36,Answer the question concisely with only the answer: who sings i won't let you down? Answer:,American rock band OK Go,"James Bay. 
Who sings"
37,Answer the question concisely with only the answer: when does the mlb regular season start in 2018? Answer:,"March 29, 2018","March 29, 201"
38,Answer the question concisely with only the answer: when was the last time it snowed in miami? Answer:,January 1977,It has never snowed in
39,Answer the question concisely with only the answer: what is ronnie real name from players club? Answer:,Chrystal Wilson,Ron O'Neal.
40,Answer the question concisely with only the answer: when did new york became the largest city? Answer:,1835,"1898.
When did"
41,Answer the question concisely with only the answer: who does jane eyre fall in love with? Answer:,Edward Rochester,mr. rochester. Is
42,Answer the question concisely with only the answer: when does season 3 of serial come out? Answer:,Sometime in 2018,There is no official release date
43,Answer the question concisely with only the answer: when is the last time mt hood erupted? Answer:,August 1907,"1986.
Answer the"
44,Answer the question concisely with only the answer: where was dr. jekyll when he first transformed into mr. hyde without drinking the potion? Answer:,At a park,In his laboratory.
45,Answer the question concisely with only the answer: who dies in for whom the bell tolls? Answer:,Anselmo,"Pablo. 
In this novel"
46,Answer the question concisely with only the answer: who voices mikey in look who's talking? Answer:,Bruce Willis,"Bruce Willis. 
Answer the"
47,Answer the question concisely with only the answer: how often is african cup of nations played? Answer:,Held in odd - numbered years,Every 2 years.
48,Answer the question concisely with only the answer: what is the primary literary work of judaism? Answer:,Talmud,"The Hebrew Bible.
Answer the"
49,Answer the question concisely with only the answer: what killed the potatoes in the irish potato famine? Answer:,Potato blight,Phytophthora infest
50,Answer the question concisely with only the answer: where do they go when one has been released in the giver? Answer:,Those said to have been `` released '' have been killed.,The Hall of Final Speech.
51,Answer the question concisely with only the answer: how many rooms are there in the winchester house? Answer:,Roughly 161 rooms,"160.
How Many Rooms"
52,Answer the question concisely with only the answer: when did mr peabody and sherman come out? Answer:,"February, 2014 in the United Kingdom, March, 2014 in the United States","2004. 
Answer"
53,Answer the question concisely with only the answer: name the largest national park in east africa? Answer:,Ru aha National Park,Serengeti National Park
54,Answer the question concisely with only the answer: who finally determined the winner of the 2000 presidential election? Answer:,The United States Supreme Court,"The Supreme Court. 
What"
55,Answer the question concisely with only the answer: who sings a little dust on the bottle? Answer:,David Lee Murphy,"Luke Combs
Who sings"
56,Answer the question concisely with only the answer: who warned concord that the british were coming? Answer:,Samuel Prescott,Paul Revere and William Daw
57,Answer the question concisely with only the answer: when did the 4th of july become a federal holiday? Answer:,1938,1870. when did
58,Answer the question concisely with only the answer: where is carbon dioxide produced in the cell? Answer:,Cristae of the mitochondria,In the mitochondria.
59,Answer the question concisely with only the answer: what do you call the trim around the floor? Answer:,"Baseboard (also called skirting board, skirting, mopboard, Floor molding, Or base molding)","Baseboard. 
Answer the"
60,Answer the question concisely with only the answer: what do you call a person who only eats fish? Answer:,pescetarian,A pescetarian.
61,Answer the question concisely with only the answer: who does the voice of brock in pokemon? Answer:,Eric Stuart,"Matthew Mercer. 
If you"
62,Answer the question concisely with only the answer: the main product of photosynthesis used by plants is? Answer:,Carbohydrate molecules,"Glucose
Answer the question"
63,Answer the question concisely with only the answer: when was the last time usa beat mexico in soccer? Answer:,2007,"2021. 
Note"
64,Answer the question concisely with only the answer: where is dancing with the stars on rté filmed? Answer:,In Ardmore Studios located in County Wick low,The RDS Arena in Balls
65,Answer the question concisely with only the answer: where will the 2028 summer olympics be held? Answer:,"Los Angeles, California","Los Angeles, California."
66,Answer the question concisely with only the answer: during the us great depression the unemployment rate peaked at? Answer:,25 %,24.9% in
67,Answer the question concisely with only the answer: who calls the cues for a show over the headset? Answer:,Stage manager,"The stage manager. 
Answer"
68,Answer the question concisely with only the answer: how many episodes of the last season of new girl? Answer:,eight,8. How many episodes
69,Answer the question concisely with only the answer: in the first chapter of john the logos refers to? Answer:,Jesus,"Jesus Christ.
Answer the question"
70,Answer the question concisely with only the answer: who was red john in the tv series the mentalist? Answer:,Thomas McAllister,The Red John was a serial
71,Answer the question concisely with only the answer: who played lena in singing in the rain? Answer:,Jean Hagen,"Debbie Reynolds. 
Answer the"
72,Answer the question concisely with only the answer: who got rajiv gandhi khel ratna award 2017? Answer:,"Para Athlete Javelin thrower Defend Jhajharia, Hockey player Barbara Singh","Sakshi Malik. 
Answer"
73,Answer the question concisely with only the answer: how many episodes are there in season 2 of the crown? Answer:,10 one - hour episodes,"10. 
How many"
74,Answer the question concisely with only the answer: how much sugar does angel food cake have? Answer:,Sugar is less than or equal to the amount of egg whites,2 grams. How much
75,Answer the question concisely with only the answer: when did the last tram run in hull? Answer:,30 June 1945,"1996. 
The"
76,Answer the question concisely with only the answer: who played in the super bowl this year? Answer:,"New England Patriots, Atlanta Falcons",The Kansas City Chiefs played in
77,Answer the question concisely with only the answer: how much money does the walmart family have? Answer:,$ US174. a billion,"$250 billion. 
The"
78,Answer the question concisely with only the answer: who does the voice over for x factor? Answer:,Peter Dickson,"Ben Winston. 
The X"
79,Answer the question concisely with only the answer: when did the occupation of the ruhr end? Answer:,1925,1925. Explanation:
80,Answer the question concisely with only the answer: when did iphone 7 come out in us? Answer:,"September 16, 2016","September 16, 201"
81,Answer the question concisely with only the answer: does va stand for veterans administration or veterans affairs? Answer:,Veterans Affairs,"Veterans Administration. However, it"
82,Answer the question concisely with only the answer: actress who plays snow white on once upon a time? Answer:,Jennifer Michelle `` Jennifer '' Goodwin,Ginnifer Goodwin.
83,Answer the question concisely with only the answer: the dot product of two vectors results in a? Answer:,A vector,a scalar. Answer the question
84,Answer the question concisely with only the answer: who dies at the end of season 4 prison break? Answer:,Michael,"Benjamin Miles ""C-Note"
85,Answer the question concisely with only the answer: when did the first palm pilot come out? Answer:,1996,"1996. 
Answer"
86,Answer the question concisely with only the answer: what language do they speak in the galapagos islands? Answer:,Spanish,"Spanish. 
Answer the question"
87,Answer the question concisely with only the answer: when is sicario 2 coming out in canada? Answer:,"June 29, 2018","April 27, 201"
88,Answer the question concisely with only the answer: who sings youve got a friend in me from toy story? Answer:,Randy Newman,Randy Newman. Who wrote you
89,Answer the question concisely with only the answer: who sang background vocals on you're so vain? Answer:,Mick Jagger,"Carly Simon. 
Who sang"
90,Answer the question concisely with only the answer: when is a bachelor party supposed to be? Answer:,Shortly before he enters marriage,"after the wedding. 
Answer"
91,Answer the question concisely with only the answer: when is andromeda going to collide with the milky way? Answer:,About .75 billion years,Approximately 4.5 billion
92,Answer the question concisely with only the answer: who has the most blocks in one nba game? Answer:,Mark Eaton,Kareem Abdul-Jabbar
93,Answer the question concisely with only the answer: how many times has wales won the 6 nations? Answer:,26 outright wins with the addition of 12 shared victories,"28
The 6"
94,Answer the question concisely with only the answer: where do the profits of the crown estate go? Answer:,"Her Majesty's Treasury, For the benefit of the British nation",The profits of the Crown Estate
95,Answer the question concisely with only the answer: what is the meaning of business to business? Answer:,A situation where one business makes a commercial transaction with another,Business to business refers to commercial
96,Answer the question concisely with only the answer: where do they put dead bodies in the hospital? Answer:,A morgue or mortuary,The morgue. What
97,Answer the question concisely with only the answer: what popular food is thought to have originated in naples italy? Answer:,pizza,Pizza. What popular food is
98,Answer the question concisely with only the answer: who did chris sullivan play in guardians of the galaxy 2? Answer:,Taser face,Mantis. Who did ch
99,Answer the question concisely with only the answer: when is whose line is it anyway on 2017? Answer:,"May 29, 2017","July 12, 201"
100,Answer the question concisely with only the answer: the function of an x ray beam filter in diagnostic radiology is to? Answer:,"Selectively attenuate, Or block out, Low - energy rays",reduce the effective energy of the
101,Answer the question concisely with only the answer: when is the teachers day celebrated in india? Answer:,September,"September 5th.
The"
102,Answer the question concisely with only the answer: record for three pointers in a game ncaa? Answer:,Keith Vega,Stephen Curry (12).?
103,Answer the question concisely with only the answer: who plays dr altman on grey's anatomy? Answer:,Kimberly Jayne `` Kim '' Raver,Kelly McCreary.
104,Answer the question concisely with only the answer: who is the girl in somebody i used to know? Answer:,Kim bra,"Taylor Swift. 
Taylor Swift"
105,Answer the question concisely with only the answer: on which river is the annual boatrace between oxford and cambridge universities rowed? Answer:,The River Thames,the thames. (a
106,Answer the question concisely with only the answer: when is ask me how i know coming out? Answer:,"March 17, 2017",when you are asked.
107,Answer the question concisely with only the answer: when is the premiere of game of thrones season 7? Answer:,"July 16, 2017","July 16, 201"
108,Answer the question concisely with only the answer: what is the meaning of abhi in hindi? Answer:,`` just now '' or `` now itself '' (ab meaning now),"Now, immediately, just,"
109,Answer the question concisely with only the answer: where is the general purpose of the constitution stated? Answer:,The Preamble to the United States Constitution,In the preamble. 1
110,Answer the question concisely with only the answer: western movie with dean martin and frank sinatra? Answer:,For Texas,"Rio Bravo.
Answer the question"
111,Answer the question concisely with only the answer: when was the first college founded in america? Answer:,1618,1636. The first
112,Answer the question concisely with only the answer: who killed jax dad in sons of anarchy? Answer:,Gemma and Clay,Clay Morrow. Who killed j
113,Answer the question concisely with only the answer: when did the new audi a4 come out? Answer:,June 2015,The 2022 Audi A
114,Answer the question concisely with only the answer: in which 3 hemispheres is south america located? Answer:,"Western hemisphere, Southern Hemisphere, Northern Hemisphere","The Southern, The Eastern,"
115,Answer the question concisely with only the answer: where does lost in the barrens take place? Answer:,Manitoba and southwestern North West Territories,"The Sudan.?
Lost in"
116,Answer the question concisely with only the answer: who did ohio fight for in the civil war? Answer:,The Union,The Union. who did ge
117,Answer the question concisely with only the answer: where does the last name stephenson originate from? Answer:,A medieval patronymic surname meaning `` son of Stephen '',"England. 
What is the"
118,Answer the question concisely with only the answer: who wrote the song can't live without you? Answer:,Pete Ham and Tom Evans,"Haddaway. 
who"
119,Answer the question concisely with only the answer: who is the author of the science book experiments and observations on electricity published in 1751? Answer:,Benjamin Franklin,"Benjamin Franklin.
Benjamin Franklin"
120,Answer the question concisely with only the answer: what is the purpose of the mental foramen? Answer:,Transmits the terminal branches of the inferior alveolar nerve and vessels (the mental artery),To provide a pathway for the
121,Answer the question concisely with only the answer: which artist is representative of the detroit blues style? Answer:,John Lee Hooker,"John Lee Hooker.
Answer"
122,Answer the question concisely with only the answer: when did the first season of the walking dead start? Answer:,"October 31, 2010","October 7, 201"
123,Answer the question concisely with only the answer: who plays murtaugh's wife on lethal weapon? Answer:,"Keesha Sharp, Darlene Love","Darlene Love
Answer the"
124,Answer the question concisely with only the answer: who sings moon river breakfast at tiffany's? Answer:,Audrey Hepburn,"Audrey Hepburn.?
What"
125,Answer the question concisely with only the answer: when did the first mad max come out? Answer:,1979,"1979. 
The"
126,Answer the question concisely with only the answer: where does a farewell to arms take place? Answer:,Italy,"Italy and Switzerland. 
F"
127,Answer the question concisely with only the answer: who won the last football world cup 2014? Answer:,Germany,"Germany.
Who won the last"
128,Answer the question concisely with only the answer: who makes up the state council in russia? Answer:,Governors and presidents,The State Council in Russia is
129,Answer the question concisely with only the answer: when was the last time the chicago white sox won a world series? Answer:,2005,"2005.
Answer the"
130,Answer the question concisely with only the answer: what is the meaning of gloria in excelsis deo? Answer:,Latin for `` Glory to God in the highest '',"It means ""Glory to"
131,Answer the question concisely with only the answer: when did the us supreme court have 9 justices? Answer:,1869,"1869.
When did"
132,Answer the question concisely with only the answer: what became the standard german term for the art song? Answer:,Lieder,Lied. (1967
133,Answer the question concisely with only the answer: what is another name for the caribbean islands? Answer:,Caribbean,"The West Indies.
What are"
134,Answer the question concisely with only the answer: what is the nissan patrol called in usa? Answer:,Nissan Armada,"Nissan Armada.
Answer the"
135,Answer the question concisely with only the answer: how many instruments in a full symphony orchestra? Answer:,"From seventy to over one hundred musicians, Depending on the work being played and the size of the venue","100. 
How many"
136,Answer the question concisely with only the answer: when can a governor declared a state of emergency? Answer:,"disaster, Civil unrest, Armed conflict",In case of natural calamities
137,Answer the question concisely with only the answer: when was national development council established in india? Answer:,August 1952,1952. when was
138,Answer the question concisely with only the answer: where did they film man from snowy river? Answer:,Victorian High Country,"Australia. 
Man from Snow"
139,Answer the question concisely with only the answer: what is name of fuel used in aeroplane? Answer:,"Jet fuel, Aviation fuel",Aviation Turbine Fuel (AT
140,Answer the question concisely with only the answer: who decided what would be in the bible? Answer:,The Christian biblical canons,The Council of Nicaea
141,Answer the question concisely with only the answer: where is the cadbury creme egg factory located in england? Answer:,Birmingham,"Bournville, Birmingham."
142,Answer the question concisely with only the answer: who sings it's a rainy night in georgia? Answer:,Brook Benton,"Brook Benton. 
The song"
143,Answer the question concisely with only the answer: who plays filch in the harry potter movies? Answer:,David John Bradley,"Tom Felton's friend,"
144,Answer the question concisely with only the answer: the light-independent reactions of photosynthesis take place in? Answer:,"The stoma, The fluid - filled area of a chloroplast outside the thylakoid membranes",the stroma of the chlor
145,Answer the question concisely with only the answer: who produces the most wheat in the world? Answer:,China,China. China produces the most
146,Answer the question concisely with only the answer: who was the filipino doctor who discovered the antibiotic erythromycin? Answer:,Abelard Aguilar,"Abelardo Aguilar.
Answer"
147,Answer the question concisely with only the answer: where does the prince's trust get money from? Answer:,"Voluntary income, Public Sector income",The Prince's Trust gets money
148,Answer the question concisely with only the answer: who ruled the soviet union with sole power in a regime of terror? Answer:,Stalin,Joseph Stalin. (2023
149,Answer the question concisely with only the answer: where are the visceral and parietal pericardium located? Answer:,Serous pericardium,The visceral pericardium
150,Answer the question concisely with only the answer: a hormone produced by the pituitary and regulates the function of another endocrine gland is called? Answer:,hypothalamus,tropic hormone. Step
151,Answer the question concisely with only the answer: who sings i got a brand new key? Answer:,Melanie,"Melanie. 
Who sings I"
152,Answer the question concisely with only the answer: when did the golden age of tv start? Answer:,1950s,"1950s.
The"
153,Answer the question concisely with only the answer: when did the us reopen its diplomatic mission in cuba? Answer:,"July 20, 2015","July 20, 201"
154,Answer the question concisely with only the answer: where does the last name polanco originate from? Answer:,"Municipality of Poland, Cantabrian in Spain","Spain and Latin America.
Answer"
155,Answer the question concisely with only the answer: who wrote if i said you had a beautiful body lyrics? Answer:,David Bellamy,"Joe Brooks. 
Joe Brooks"
156,Answer the question concisely with only the answer: what is the name of thor's hammer in the movie? Answer:,Mjölnir,Mjolnir
157,Answer the question concisely with only the answer: who is the mom on stuck in the middle? Answer:,Suzy Diaz (Carina Vincent),Melissa Schemmenti.
158,Answer the question concisely with only the answer: who say let's get ready to rumble? Answer:,Michael Buffer,Michael Buffer. who is the
159,Answer the question concisely with only the answer: when were the winter and summer olympics separated? Answer:,1992,"1992. 
In"
160,Answer the question concisely with only the answer: who sings im gonna swing from the chandelier? Answer:,SIA,"Sia. 
The song"
161,Answer the question concisely with only the answer: in which country is vikram sambat the official calendar? Answer:,Nepal,"Nepal. 

Note: Vik"
162,Answer the question concisely with only the answer: who wrote the song life is a highway? Answer:,Tom Cochrane,Tom Cochrane.
163,Answer the question concisely with only the answer: what is the area code for austin texas? Answer:,"737, 512","512.
The area code"
164,Answer the question concisely with only the answer: what is the song i got a brand new pair of roller skates about? Answer:,A girl with roller skates trying to attract the attention of a boy.,The joys of childhood and the
165,Answer the question concisely with only the answer: when was the last time the seahawks didn't make the playoffs? Answer:,2011,"2010. 
What"
166,Answer the question concisely with only the answer: what bones produce red blood cells in adults? Answer:,Bone marrow,The bones of the pelvis
167,Answer the question concisely with only the answer: when did the winter olympic games begin and where? Answer:,"1924, In Chamois, France",1924 in Chamon
168,Answer the question concisely with only the answer: who plays mick in power rangers ninja steel? Answer:,Nelson Henderson,Peter Sudarso.
169,Answer the question concisely with only the answer: who played kit marlowe in shakespeare in love? Answer:,Rupert Everett,"Joseph Fiennes. 
Answer"
170,Answer the question concisely with only the answer: thirties brazilian actress known for her fruit-laden headgear? Answer:,Carmen Miranda,"Carmen Miranda. 
Answer the"
171,Answer the question concisely with only the answer: what is the central intelligence agency's job? Answer:,"Tasked with gathering, processing, And analyzing national security information from around the world, Primarily through the use of human intelligence (HUM INT)",The Central Intelligence Agency's (
172,Answer the question concisely with only the answer: who said the phrase no taxation without representation? Answer:,Jonathan Mayhew,"James Otis. 
The"
173,Answer the question concisely with only the answer: who did manchester united play before the munich air disaster? Answer:,Red Star Belgrade,Red Star Belgrade.
174,Answer the question concisely with only the answer: who voices stoic in how to train your dragon? Answer:,Gerard Butler,"Gerard Butler. 
Answer the"
175,Answer the question concisely with only the answer: what is the alcohol limit for driving in england? Answer:,"80 mg / 100 ml alcohol in blood, 35 kg / 100 ml alcohol in breath, 107 mg / 100 ml alcohol in urine",80mg of alcohol per
176,Answer the question concisely with only the answer: when did world war ii in europe end? Answer:,1945,"May 8, 194"
177,Answer the question concisely with only the answer: who is credited with introducing massage into the medical profession? Answer:,Chinese medicine,Per Henrik Ling. (201
178,Answer the question concisely with only the answer: what book was the movie casino based on? Answer:,Casino : Love and Honor in Las Vegas,Casino by Nicholas Pileg
179,Answer the question concisely with only the answer: who is the actor that does the allstate commercials? Answer:,Dennis Dexter Halbert,Dennis Haysbert.
180,Answer the question concisely with only the answer: where did the battle of preston take place? Answer:,At Walton - LE - Dale near Preston in Lancashire,"Preston, England. 
The"
181,Answer the question concisely with only the answer: how long does a pygmy goat live for? Answer:,-- 18 years,12-15 years.
182,Answer the question concisely with only the answer: the fête galante is most associated with which artist? Answer:,Antoine Watteau,"Watteau.
The f"
183,Answer the question concisely with only the answer: 1st indian to win individual olympic gold medal? Answer:,Abhinav Indra,Abhinav Bindra.
184,Answer the question concisely with only the answer: is the descendants a movie or tv show? Answer:,Television film,TV Show. is the descendants
185,Answer the question concisely with only the answer: when was alcohol first used as a disinfectant? Answer:,"By the Sumerians, Who used beer as an antiseptic along with the dressing of wounds, Using up to 19 different types of beer.","400 BCE.
When was"
186,Answer the question concisely with only the answer: what's the name of the goat in ferdinand? Answer:,Lupe,"Nacho.
Answer the question"
187,Answer the question concisely with only the answer: how many cards do you get when you play uno? Answer:,Seven cards,7. How many cards
188,Answer the question concisely with only the answer: what is one major function of arrector pili muscle contraction? Answer:,To provide insulation,To stand hair on end.
189,Answer the question concisely with only the answer: what is the fastest time at the belmont stakes? Answer:, 24,1:59.40
190,Answer the question concisely with only the answer: who played the girl in the thriller video? Answer:,Ola Ray,"Amy Diamond.?
What is"
191,Answer the question concisely with only the answer: who played piano on cat stevens morning has broken? Answer:,Rick Waksman,"John Paul Jones.
Answer the"
192,Answer the question concisely with only the answer: who wrote where has all the flowers gone? Answer:,Pete Seeger,"Peter, Paul and Mary."
193,Answer the question concisely with only the answer: who signed the wrong scorecard at the masters? Answer:,Roberto De Vicenzo,Scotty Scheffler.
194,Answer the question concisely with only the answer: who wins ru pauls drag race season 7? Answer:,Violet Chichi,Violet Chachki.?
195,Answer the question concisely with only the answer: who is the oldest child on family guy? Answer:,Megan `` Meg '' Griffin,"Meg. 
Meg is the"
196,Answer the question concisely with only the answer: what voltage comes out of a car cigarette lighter? Answer:,12 V,12V. Answer the
197,Answer the question concisely with only the answer: what are the base pair rules for rna? Answer:,"Watson - Crick base pairs (guanine - cytosine and adenine - uracil) permit the formation of short double-stranded helices, Non-Watson - Crick interactions (e.g., G-U or A-A) allow RNA's to fold into a vast range of specific three-dimensional structures",A-T and G-U.
198,Answer the question concisely with only the answer: when will the 2019 cricket world cup fixtures be announced? Answer:,26 April 2018,The fixtures for the 201
199,Answer the question concisely with only the answer: what treaty did europe believe achieved peace for our time? Answer:,The Munich Agreement and the Anglo - German Declaration,The Treaty of Versailles.
200,Answer the question concisely with only the answer: who won the mtv box cricket league 2018? Answer:,Lucknow Arabs,Delhi Bulls won the MTV Box
201,Answer the question concisely with only the answer: what was the terrain like on the santa fe trail? Answer:,"plains, desert, mountains","Rocky and mountainous.
The"
202,Answer the question concisely with only the answer: which organisms can use glycolysis to produce atp? Answer:,"In nearly all organisms, Both aerobic and anaerobic",Prokaryotes and e
203,Answer the question concisely with only the answer: who played goober pyle on the andy griffith show? Answer:,George Smith Lindsey,"George Lindsey.
Who played G"
204,Answer the question concisely with only the answer: who does elena end up with in bitten? Answer:,Clay,"Damon. 
Note: The"
205,Answer the question concisely with only the answer: where does the colorado river empty into the gulf? Answer:,Between Baja California and Sonora,The Gulf of California.?
206,Answer the question concisely with only the answer: where did the french colonize the new world? Answer:,"Much of eastern North America, On a number of Caribbean islands, In South America","North America, specifically present-day"
207,Answer the question concisely with only the answer: who's the actress that plays abby on ncis? Answer:,Paula Permeate,Renee Felice Smith.
208,Answer the question concisely with only the answer: where are the new england patriots located at? Answer:,"Gillette Stadium in the town of Foxborough, Massachusetts, Which is located 21 miles (34 km) southwest of downtown Boston, Massachusetts and 20 miles (32 km) northeast of downtown Providence, Rhode Island","Foxborough, Massachusetts.

The"
209,Answer the question concisely with only the answer: who won the golden ball in champions trophy 2017? Answer:,Hasan Ali,Pakistan. who won the golden
210,Answer the question concisely with only the answer: how many years did moses malone lead the league in rebounds? Answer:,six,"3

## Step"
211,Answer the question concisely with only the answer: who was the pilot of the plane that dropped the bomb on nagasaki? Answer:,Major General Charles W. Sweeney,Major Charles W. Sweeney
212,Answer the question concisely with only the answer: who plays boss baby in the tv show? Answer:,JP Karla,"Alec Baldwin. 
Answer the"
213,Answer the question concisely with only the answer: who sang i'm going to hire a wino to decorate our home? Answer:,American country music artist David Frizzell,"The Kinks. 
Who"
214,Answer the question concisely with only the answer: what programming language is used in microsoft access? Answer:,Visual Basic for Applications,VBA (Visual Basic for
215,Answer the question concisely with only the answer: i can be your hero baby original singer? Answer:,Enrique Iglesias,Everclear. Answer the question
216,Answer the question concisely with only the answer: when did the black death get to europe? Answer:,1347,1347. The Black
217,Answer the question concisely with only the answer: which world culture features the singing style known as call and response? Answer:,Sub-Saharan African cultures,"African. 
The question requires"
218,Answer the question concisely with only the answer: the term that means disease of the endocrine system is? Answer:,Endocrinopathies,"endocrinopathy.
Endocrin"
219,Answer the question concisely with only the answer: what are the counties in el paso tx? Answer:,El Paso County,El Paso County. Note:
220,Answer the question concisely with only the answer: when did france lose the world cup final? Answer:,2006,"2022. 
Note"
221,Answer the question concisely with only the answer: when did 3 point shot start in nba? Answer:,1979 -- 80 season,"1967.
Answer the"
222,Answer the question concisely with only the answer: who sings on avicii i could be the one? Answer:,Swedish singer Newbie Bad,"Avicii sings on """
223,Answer the question concisely with only the answer: voice of the t rex in toy story? Answer:,Wallace Michael Shawn,"Rex. 

Answer the question"
224,Answer the question concisely with only the answer: who is the fastest person to have sailed around the world single-handed? Answer:,Joshua Slocum,Francis Chichester. Francis
225,Answer the question concisely with only the answer: how many games do you have to win in the nba finals to be champions? Answer:,Best - of - seven,"4. 
How many"
226,Answer the question concisely with only the answer: who sang take my breath away top gun? Answer:,Berlin,"Berlin. 
What is the"
227,Answer the question concisely with only the answer: one hundred thousand is equal to how many lakhs? Answer:,one,ten lakh. One hundred thousand
228,Answer the question concisely with only the answer: what year did the mini cooper countryman come out? Answer:,2010,"2017. 
Note"
229,Answer the question concisely with only the answer: why is andy in prison in shawshank redemption? Answer:,For the murder of his wife and her lover,He was wrongly accused of murdering
230,Answer the question concisely with only the answer: where are the san diego chargers playing football? Answer:,The Grubhub Center,SoFi Stadium in Ingle
231,Answer the question concisely with only the answer: when did 2nd world war started and ended? Answer:,September 1939 -- September 1945 (,1939-1945
232,Answer the question concisely with only the answer: what is the meaning of samar in hindi? Answer:,"Battlefield Commander, war",सेवा (seva
233,Answer the question concisely with only the answer: where do plants obtain the chemicals that they need to sustain life? Answer:,"From the soil through their roots, From the air (mainly consisting of nitrogen and oxygen) through their leaves","From the soil. 
What"
234,Answer the question concisely with only the answer: what season is the current season of vikings? Answer:,fifth,"Season 6.
What season"
235,Answer the question concisely with only the answer: germany took control of austria and an area of czechoslovakia called the? Answer:,The Sudetenland,"sudetenland.
Germany took"
236,Answer the question concisely with only the answer: when did india won the first world cup? Answer:,1983,1983. 1
